#Gene Name	Gene ID	LSV ID	E(dPSI) per LSV junction	P(|E(dPSI)|>=0.20) per LSV junction	T4_N E(PSI)	T4_EM E(PSI)	LSV Type	A5SS	A3SS	ES	Num. Junctions	Num. Exons	De Novo Junctions?	chr	strand	Junctions coords	Exons coords	Exons Alternative Start	Exons Alternative End	IR coords	Voila link
KDM5D	ENSG00000012817	ENSG00000012817:21877022-21877385:target	0.369518685565;-0.369518685565	1.0;1.0	0.615;0.385	0.975;0.025	s|1e1.2o2|2e0|i	True	False	False	1	2	1	chrY	-	21872358-21877238;21877021-21877022	21872262-21872492;21872493-21877021;21877022-21877385	;;	;;	(21872493, 21877021)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/2_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#KDM5D
KDM5D	ENSG00000012817	ENSG00000012817:21872262-21872492:source	0.00057167798114;0.000523487154109;0.308775783154;-0.303111422825	8.19182823611e-12;4.52315944843e-12;0.999801095088;0.999999999999	0.075;0.095;0.508;0.321	0.086;0.102;0.809;0.025	t|1e0|2e1.1o2|2e1.2o2|2e2.1o2|i	True	True	True	3	3	1	chrY	-	21872358-21877501;21872358-21877470;21872358-21877238;21872492-21872493	21872262-21872492;21872493-21877021;21877022-21877385;21877470-21877625;21877470-21877625	;;;;	;;;;	(21872493, 21877021)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/2_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#KDM5D
KDM5D	ENSG00000012817	ENSG00000012817:21877022-21877385:source	0.207415525642;-0.207415525642	0.748987886604;0.748987886604	0.485;0.515	0.688;0.312	t|1e1.1o2|i	False	False	False	1	2	1	chrY	-	21877385-21877501;21877385-21877386	21877022-21877385;21877386-21877469;21877470-21877625	;;	;;	(21877386, 21877469)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/2_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#KDM5D
PTPN22	ENSG00000134242	ENSG00000134242:114399004-114399063:target	0.422591752943;-3.68469232352e-07;-0.419531841408	0.999999992872;1.04225167632e-15;0.999999989475	0.563;0.025;0.434	0.975;0.025;0.025	s|1e1.1o1|1e2.2o2|i	False	False	True	2	3	1	chr1	-	114397671-114399004;114362276-114399004;114399003-114399004	114361921-114362454;114397529-114397671;114397672-114399003;114399004-114399063	;;;	;;;	(114397672, 114399003)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/66_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#PTPN22
PTPN22	ENSG00000134242	ENSG00000134242:114397529-114397671:source	0.587605342984;-0.587605342984	1.0;1.0	0.402;0.598	0.975;0.025	t|1e1.1o1|i	False	False	False	1	2	1	chr1	-	114397671-114399004;114397671-114397672	114397529-114397671;114397672-114399003;114399004-114399063	;;	;;	(114397672, 114399003)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/66_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#PTPN22
FUS	ENSG00000089280	ENSG00000089280:31196260-31196500:target	0.0869177762763;-0.0455817761855;0.134471371812;-0.149582665586	0.0127237110982;1.00892458882e-16;0.15252054484;0.0251340690269	0.109;0.075;0.652;0.171	0.210;0.025;0.788;0.025	t|1e1.1o1|1e2.1o3|1e2.2o3|2e0|i	True	True	True	3	3	1	chr16	+	31195323-31196260;31195711-31196260;31195717-31196260;31196259-31196260	31194871-31195323;31195530-31195719;31195530-31195719;31195720-31196259;31196260-31196500	;;;;	;;;;	(31195720, 31196259)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/18_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#FUS
WNK1	ENSG00000060237	ENSG00000060237:991077-991239:source	0.202510627874;-0.202510627874	0.784973607168;0.784973607168	0.728;0.272	0.925;0.075	s|1e0|2e1.1o1|2e2.1o1	True	False	True	2	3	0	chr12	+	991239-992109;991239-992561	991077-991239;992109-992225;992561-992734	;;	;;		file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/8_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#WNK1
TACC3	ENSG00000013810	ENSG00000013810:1746675-1746898:target	0.207950175579;-0.207950175579	0.931524997229;0.931524997229	0.772;0.228	0.975;0.025	t|1e1.1o1|i	False	False	False	1	2	1	chr4	+	1746559-1746675;1746674-1746675	1746439-1746559;1746560-1746674;1746675-1746898	;;	;;	(1746560, 1746674)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/3_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#TACC3
PIEZO1	ENSG00000103335	ENSG00000103335:88783431-88783619:source	0.367159578396;0.00031864173003;5.32053569605e-05;-0.377208796693	0.999999976199;4.7614764413e-18;4.22326161982e-18;1.0	0.568;0.025;0.025;0.393	0.926;0.032;0.027;0.025	t|1e1.1o2|1e2.1o2|1e2.2o2|i	True	False	True	3	3	1	chr16	-	88783619-88785982;88783619-88783945;88783619-88783725;88783619-88783620	88783431-88783619;88783620-88783724;88783725-88784023;88783725-88784023;88785380-88786129	;;;;	;;;;	(88783620, 88783724)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/27_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#PIEZO1
ABCF3	ENSG00000161204	ENSG00000161204:183904584-183905071:target	1.03415059992e-06;0.446964387528;-0.437654862599	4.07747582848e-18;1.0;1.0	0.025;0.539;0.452	0.025;0.975;0.025	t|1e1.1o2|1e1.2o2|i	True	False	False	2	2	1	chr3	+	183904424-183904584;183904442-183904584;183904583-183904584	183904295-183904442;183904295-183904442;183904443-183904583;183904584-183905071	;;;	;;;	(183904443, 183904583)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/95_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#ABCF3
ABCF3	ENSG00000161204	ENSG00000161204:183904295-183904442:source	1.24842724796e-06;0.372951681171;-0.362355420702	4.07793401696e-18;1.0;1.0	0.025;0.611;0.378	0.025;0.975;0.025	s|1e1.1o1|2e1.1o1|i	True	True	False	2	2	1	chr3	+	183904424-183904584;183904442-183904584;183904442-183904443	183904295-183904442;183904443-183904583;183904584-183905071;183904584-183905071	;;;	;;;	(183904443, 183904583)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/95_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#ABCF3
NRD1	ENSG00000078618	ENSG00000078618:52263921-52264083:source	0.342235874254;-0.342235874254	0.999999999996;0.999999999996	0.641;0.359	0.975;0.025	t|1e1.1o1|i	False	False	False	1	2	1	chr1	-	52264083-52266228;52264083-52264084	52263921-52264083;52264084-52266227;52266228-52266355	;;	;;	(52264084, 52266227)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/14_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#NRD1
NRD1	ENSG00000078618	ENSG00000078618:52260495-52260526:source	0.311249268023;4.31642249138e-08;-0.305971224393	0.999983922259;4.29665413766e-18;0.999968717339	0.672;0.025;0.323	0.975;0.025;0.025	t|1e1.1o1|1e2.1o1|i	False	False	True	2	3	1	chr1	-	52260526-52263921;52260526-52260730;52260526-52260527	52260495-52260526;52260527-52260729;52260730-52261380;52263921-52264083	;;;	;;;	(52260527, 52260729)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/14_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#NRD1
SFI1	ENSG00000198089	ENSG00000198089:32011034-32011265:target	9.44086224752e-05;0.352678378143;-0.000274658277724;-0.292866484554	4.2771385917e-18;0.999999999959;4.65864411505e-18;1.0	0.025;0.628;0.031;0.311	0.027;0.972;0.025;0.025	t|1e1.1o1|1e2.3o4|1e2.4o4|i	True	False	True	3	3	1	chr22	+	32009841-32011034;32010846-32011034;32010855-32011034;32011033-32011034	32009821-32009841;32010153-32010855;32010153-32010855;32010856-32011033;32011034-32011265	;;;;	;;;;	(32010856, 32011033)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/130_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#SFI1
SFI1	ENSG00000198089	ENSG00000198089:32009340-32009516:target	0.404964873039;-0.404964873039	1.0;1.0	0.580;0.420	0.975;0.025	t|1e1.1o1|i	False	False	False	1	2	1	chr22	+	32009202-32009340;32009339-32009340	32008759-32009202;32009203-32009339;32009340-32009516	;;	;;	(32009203, 32009339)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/130_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#SFI1
SFI1	ENSG00000198089	ENSG00000198089:32009340-32009516:source	0.24223274845;-0.000113063268496;-0.223532019782	0.955073994356;4.32785456318e-18;0.892825662833	0.517;0.028;0.443	0.754;0.025;0.226	s|1e0|2e1.1o1|2e2.4o4|i	True	False	True	2	3	1	chr22	+	32009516-32009588;32009516-32010775;32009516-32009517	32009340-32009516;32009517-32009587;32009588-32009701;32010153-32010855	;;;	;;;	(32009517, 32009587)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/130_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#SFI1
SFI1	ENSG00000198089	ENSG00000198089:32010153-32010855:source	0.000490310662584;-8.54487906874e-08;0.296743968359;-0.000581767955938;-0.205427009106	9.81020125354e-18;4.07544821302e-18;0.99998967213;5.31095110344e-18;0.929716790074	0.027;0.025;0.666;0.036;0.225	0.037;0.025;0.955;0.025;0.025	s|1e1.4o4|2e1.4o4|3e0|3e2.1o1|4e2.1o1|i	True	True	True	4	3	1	chr22	+	32010261-32010775;32010592-32010775;32010846-32011034;32010855-32011034;32010855-32010856	32010153-32010855;32010856-32011033;32011034-32011265;32011034-32011265	;;;	;;;	(32010856, 32011033)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/130_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#SFI1
SFI1	ENSG00000198089	ENSG00000198089:32008759-32009202:source	0.284395166254;-0.284395166254	0.999999996293;0.999999996293	0.698;0.302	0.975;0.025	s|1e1.1o1|i	False	False	False	1	2	1	chr22	+	32009202-32009340;32009202-32009203	32008759-32009202;32009203-32009339;32009340-32009516	;;	;;	(32009203, 32009339)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/130_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#SFI1
SFI1	ENSG00000198089	ENSG00000198089:32000855-32000931:target	2.15123435388e-11;0.229330255329;2.76907885231e-09;-0.228724479543	4.07526455014e-18;0.997754289724;4.07527042526e-18;0.997520796661	0.025;0.751;0.025;0.248	0.025;0.975;0.025;0.025	t|1e1.1o1|1e2.1o1|1e3.1o1|i	False	False	True	3	4	1	chr22	+	31999805-32000855;32000390-32000855;32000657-32000855;32000854-32000855	31999730-31999805;32000295-32000390;32000555-32000657;32000658-32000854;32000855-32000931	;;;;	;;;;	(32000658, 32000854)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/130_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#SFI1
UBAC2	ENSG00000134882	ENSG00000134882:99896769-99896878:source	-0.164729326735;0.231263854672;-0.0439289333143	0.341595455161;0.899745634754;1.00992376348e-11	0.280;0.638;0.080	0.118;0.864;0.025	s|1e0|1e1.1o1|1e2.1o1|1e3.1o1	False	False	True	3	4	1	chr13	+	99896878-99931579;99896878-99966351;99896878-99970276	99896769-99896878;99931579-99931637;99966351-99966474;99970276-99970323	;;;	;;;		file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/67_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#UBAC2
UBAC2	ENSG00000134882	ENSG00000134882:99992574-99992819:target	1.06113884113e-08;0.207441092952;-0.20219728412	4.07528744028e-18;0.69391294661;0.665905594752	0.025;0.566;0.428	0.025;0.771;0.227	t|1e1.1o1|1e2.1o1|2e2.1o1	True	True	True	3	3	1	chr13	+	99890808-99992574;99970323-99992574;99970323-99992689	99890681-99890808;99970276-99970323;99970276-99970323;99992574-99992819	;;;	;;;		file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/67_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#UBAC2
UBAC2	ENSG00000134882	ENSG00000134882:99966351-99966474:target	-0.0051101927314;0.205883197446;-0.0513653904796;-4.54097199244e-06;-0.024829925436;4.02451705026e-10	1.02516857887e-09;0.773267171098;0.000308994578399;4.08810982544e-18;1.2137029877e-13;4.07526536472e-18	0.097;0.666;0.140;0.025;0.073;0.025	0.050;0.866;0.061;0.025;0.025;0.025	t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1|1e6.1o1	False	False	True	6	7	1	chr13	+	99890808-99966351;99896878-99966351;99931637-99966351;99961063-99966351;99962777-99966351;99965641-99966351	99890681-99890808;99896769-99896878;99931579-99931637;99960937-99961063;99962649-99962777;99965037-99965641;99966351-99966474	;;;;;;	;;;;;;		file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/67_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#UBAC2
KAT8	ENSG00000103510	ENSG00000103510:31142516-31142714:target	0.383771300558;-0.383771300558	0.999999999957;0.999999999957	0.601;0.399	0.975;0.025	t|1e1.1o1|i	False	False	False	1	2	1	chr16	+	31142221-31142516;31142515-31142516	31142067-31142221;31142222-31142515;31142516-31142714	;;	;;	(31142222, 31142515)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/28_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#KAT8
CDK4	ENSG00000135446	ENSG00000135446:58144439-58144454:target	0.20605170805;-0.20605170805	0.78375474085;0.78375474085	0.774;0.226	0.975;0.025	s|1e1.2o2|i	False	False	False	1	2	1	chr12	-	58143287-58144439;58144438-58144439	58143237-58143578;58144347-58144438;58144439-58144454	;;	;;	(58144347, 58144438)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/68_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#CDK4
CDK4	ENSG00000135446	ENSG00000135446:58144990-58145125:source	0.217560356874;-0.217560356874	0.755253391017;0.755253391017	0.249;0.751	0.465;0.535	t|1e1.1o1|1e2.1o1	False	False	True	2	3	0	chr12	-	58145125-58145958;58145125-58145283	58144990-58145125;58145283-58145479;58145958-58146304	;;	;;		file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/68_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#CDK4
PSD4	ENSG00000125637	ENSG00000125637:113950625-113950705:target	-1.84444551688e-05;0.30107560946;-0.275754279186	1.41635263662e-07;0.997703023327;0.999988659777	0.182;0.524;0.294	0.182;0.817;0.025	t|1e1.1o1|1e2.1o1|i	False	False	True	2	3	1	chr2	+	113943832-113950625;113950166-113950625;113950624-113950625	113943454-113943832;113949957-113950166;113950167-113950624;113950625-113950705	;;;	;;;	(113950167, 113950624)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/55_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#PSD4
PSD4	ENSG00000125637	ENSG00000125637:113949957-113950166:source	0.34250767519;-0.34250767519	0.999999999725;0.999999999725	0.641;0.359	0.975;0.025	s|1e1.1o1|i	False	False	False	1	2	1	chr2	+	113950166-113950625;113950166-113950167	113949957-113950166;113950167-113950624;113950625-113950705	;;	;;	(113950167, 113950624)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/55_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#PSD4
PSD4	ENSG00000125637	ENSG00000125637:113943454-113943832:target	0.488937322338;2.68168097491e-08;-0.488092682441	1.0;4.07532184657e-18;1.0	0.498;0.025;0.501	0.975;0.025;0.025	t|1e1.1o1|2e1.1o1|i	True	True	False	2	2	1	chr2	+	113943017-113943454;113943017-113943538;113943453-113943454	113942942-113943017;113942942-113943017;113943328-113943453;113943454-113943832	;;;	;;;	(113943328, 113943453)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/55_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#PSD4
CCDC93	ENSG00000125633	ENSG00000125633:118706898-118706971:source	0.286236438984;-0.286236438984	0.99996186407;0.99996186407	0.696;0.304	0.975;0.025	t|1e1.1o1|i	False	False	False	1	2	1	chr2	-	118706971-118709949;118706971-118706972	118706898-118706971;118706972-118709064;118709949-118710011	;;	;;	(118706972, 118709064)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/54_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#CCDC93
TADA1	ENSG00000152382	ENSG00000152382:166833061-166833158:target	0.267542505069;-0.267542505069	0.999356365873;0.999356365873	0.714;0.286	0.975;0.025	s|1e1.2o2|i	False	False	False	1	2	1	chr1	-	166831649-166833061;166833060-166833061	166831440-166832453;166832454-166833060;166833061-166833158	;;	;;	(166832454, 166833060)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/87_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#TADA1
TADA1	ENSG00000152382	ENSG00000152382:166831440-166832453:source	0.215016831659;-0.215016831659	0.90580350044;0.90580350044	0.765;0.235	0.975;0.025	t|1e0|2e1.1o1|i	False	True	False	1	2	1	chr1	-	166831649-166833061;166832453-166832454	166831440-166832453;166832454-166833060;166833061-166833158	;;	;;	(166832454, 166833060)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/87_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#TADA1
TADA1	ENSG00000152382	ENSG00000152382:166827356-166827518:target	0.351200320913;-0.351200320913	0.999999966283;0.999999966283	0.633;0.367	0.975;0.025	s|1e1.1o1|i	False	False	False	1	2	1	chr1	-	166826956-166827356;166827355-166827356	166825747-166826956;166826957-166827355;166827356-166827518	;;	;;	(166826957, 166827355)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/87_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#TADA1
TADA1	ENSG00000152382	ENSG00000152382:166825747-166826956:source	0.300618029371;-0.300618029371	0.999974347487;0.999974347487	0.682;0.318	0.975;0.025	t|1e1.1o1|i	False	False	False	1	2	1	chr1	-	166826956-166827356;166826956-166826957	166825747-166826956;166826957-166827355;166827356-166827518	;;	;;	(166826957, 166827355)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/87_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#TADA1
UBE2J2	ENSG00000160087	ENSG00000160087:1189289-1190867:source	-0.0140383868066;0.311568615904;-0.24306370921	4.4475920152e-15;0.999966175464;0.996813047369	0.074;0.667;0.262	0.028;0.971;0.025	t|1e1.4o4|1e2.2o2|i	False	False	True	2	3	1	chr1	-	1190867-1192372;1190867-1191425;1190867-1190868	1189289-1190867;1190868-1191424;1191425-1191715;1192372-1192510	;;;	;;;	(1190868, 1191424)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/93_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#UBE2J2
UBE2J2	ENSG00000160087	ENSG00000160087:1191425-1191715:target	0.256480017602;-0.256480017602	0.998897932033;0.998897932033	0.725;0.275	0.975;0.025	s|1e0|2e1.1o1|i	True	False	False	1	2	1	chr1	-	1190867-1191425;1191424-1191425	1189289-1190867;1190868-1191424;1191425-1191715	;;	;;	(1190868, 1191424)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/93_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#UBE2J2
UBE2J2	ENSG00000160087	ENSG00000160087:1192372-1192510:target	0.438099953631;-0.0064984255793;-0.365762116438	0.999999999767;2.36730106384e-10;0.999999999991	0.534;0.082;0.382	0.961;0.038;0.025	s|1e0|2e0|3e0|4e0|4e1.2o2|4e2.1o1|i	True	False	True	2	3	1	chr1	-	1191505-1192372;1190867-1192372;1192371-1192372	1189289-1190867;1191425-1191715;1191716-1192371;1192372-1192510	;;;	;;;	(1191716, 1192371)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/93_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#UBE2J2
UBE2J2	ENSG00000160087	ENSG00000160087:1191425-1191715:source	0.429734900567;-0.429734900567	1.0;1.0	0.556;0.444	0.975;0.025	t|1e0|2e1.4o4|i	False	True	False	1	2	1	chr1	-	1191505-1192372;1191715-1191716	1191425-1191715;1191716-1192371;1192372-1192510	;;	;;	(1191716, 1192371)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/93_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#UBE2J2
TBC1D23	ENSG00000036054	ENSG00000036054:100013931-100014055:source	-0.25582889834;0.255828898341	0.987222963017;0.987222963017	0.975;0.025	0.726;0.274	s|1e1.1o1|i	False	False	False	1	2	1	chr3	+	100014055-100014146;100014055-100014056	100013931-100014055;100014056-100014145;100014146-100014192	;;	;;	(100014056, 100014145)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/5_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#TBC1D23
CORO7-PAM16	ENSG00000103426	ENSG00000103426:4405287-4405373:target	0.839574883735;4.26548008578e-05;-0.840252732685	1.0;7.67763939196e-11;1.0	0.155;0.025;0.844	0.973;0.026;0.025	s|1e1.1o1|1e2.2o2|i	False	False	True	2	3	1	chr16	-	4393292-4405287;4391505-4405287;4405286-4405287	4391369-4391584;4393208-4393292;4393293-4405286;4405287-4405373	;;;	;;;	(4393293, 4405286)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/28_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#CORO7-PAM16
TRBC2	ENSG00000211772	ENSG00000211772:142499589-142499645:source	0.284840078459;-0.0225518030772;-0.241583509428	0.967103338082;1.50244676676e-09;0.904629195271	0.333;0.178;0.489	0.611;0.134;0.254	s|1e1.1o1|1e2.1o1|i	False	False	True	2	3	1	chr7	+	142499645-142499789;142499645-142500187;142499645-142499646	142499589-142499645;142499646-142499701;142499789-142499895;142500187-142500432	;;;	;;;	(142499646, 142499701)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/134_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#TRBC2
TRBC2	ENSG00000211772	ENSG00000211772:142499789-142499895:target	-0.00014901083;0.221997591655;-0.214092335937	4.55598073072e-18;0.759090664845;0.736675450642	0.075;0.562;0.363	0.072;0.779;0.154	t|1e1.1o1|1e2.1o1|i	False	False	True	2	3	1	chr7	+	142499111-142499789;142499645-142499789;142499788-142499789	142498725-142499111;142499589-142499645;142499760-142499788;142499789-142499895	;;;	;;;	(142499760, 142499788)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/134_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#TRBC2
VPS9D1	ENSG00000075399	ENSG00000075399:89778290-89778377:source	0.278965390251;-0.278965390251	0.999923645116;0.999923645116	0.703;0.297	0.975;0.025	t|1e1.1o1|i	False	False	False	1	2	1	chr16	-	89778377-89778455;89778377-89778378	89778290-89778377;89778378-89778454;89778455-89778507	;;	;;	(89778378, 89778454)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/12_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#VPS9D1
VPS9D1	ENSG00000075399	ENSG00000075399:89778455-89778507:target	0.233399766642;-0.233399766642	0.979442263962;0.979442263962	0.747;0.253	0.975;0.025	s|1e1.1o1|i	False	False	False	1	2	1	chr16	-	89778377-89778455;89778454-89778455	89778290-89778377;89778378-89778454;89778455-89778507	;;	;;	(89778378, 89778454)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/12_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#VPS9D1
RBM14-RBM4	ENSG00000248643	ENSG00000248643:66413498-66413940:target	4.00179680212e-09;0.317539952838;-0.31682671998	4.07527306119e-18;0.99999999901;0.999999999496	0.025;0.665;0.334	0.025;0.975;0.025	t|1e1.1o1|1e2.1o2|i	False	False	True	2	3	1	chr11	+	66384528-66413498;66411611-66413498;66413497-66413498	66384097-66384528;66410921-66412103;66412104-66413497;66413498-66413940	;;;	;;;	(66412104, 66413497)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/141_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#RBM14-RBM4
RBM14-RBM4	ENSG00000248643	ENSG00000248643:66410921-66412103:source	0.289079886459;-0.289079886459	0.999998584175;0.999998584175	0.693;0.307	0.975;0.025	s|1e1.1o1|2e0|i	True	False	False	1	2	1	chr11	+	66411611-66413498;66412103-66412104	66410921-66412103;66412104-66413497;66413498-66413940	;;	;;	(66412104, 66413497)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/141_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#RBM14-RBM4
FDFT1	ENSG00000079459	ENSG00000079459:11660120-11660440:source	1.02436503554e-13;7.80863574668e-16;7.80863574668e-16;-0.00180308592629;0.243857762426;-0.145852079475;-0.0267285691892;-0.00400970416139	4.07526450436e-18;4.07526450414e-18;4.07526450414e-18;8.62020729431e-18;0.974436575104;0.0149003916703;6.08570393527e-17;1.26193486654e-17	0.025;0.025;0.025;0.052;0.630;0.167;0.073;0.079	0.025;0.025;0.025;0.030;0.868;0.025;0.025;0.043	s|1e3.5o5|1e5.3o3|2e1.2o3|2e2.2o2|2e3.5o5|2e4.1o2|2e4.2o2|i	True	True	True	7	6	1	chr8	+	11660419-11666303;11660419-11683588;11660440-11660600;11660440-11660831;11660440-11666303;11660440-11667176;11660440-11667301;11660440-11660441	11660120-11660440;11660441-11660520;11660521-11660734;11660814-11661341;11665926-11666400;11665926-11666400;11667176-11667485;11667176-11667485;11683509-11683724	;;;;;;;;	;;;;;;;;	(11660441, 11660520)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/15_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#FDFT1
BCCIP	ENSG00000107949	ENSG00000107949:127519131-127519220:source	0.357112182529;-0.357112182529	0.999999999845;0.999999999845	0.627;0.373	0.975;0.025	s|1e1.1o1|i	False	False	False	1	2	1	chr10	+	127519220-127519989;127519220-127519221	127519131-127519220;127519221-127519988;127519989-127520219	;;	;;	(127519221, 127519988)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/35_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#BCCIP
BCCIP	ENSG00000107949	ENSG00000107949:127519989-127520219:target	0.00120356353039;0.0392937193124;0.217329508825;-0.298023104063	6.03612095751e-12;3.05699925715e-06;0.819571235078;0.999994361585	0.025;0.025;0.652;0.316	0.045;0.087;0.864;0.025	t|1e1.1o1|1e2.1o1|1e3.1o1|i	False	False	True	3	4	1	chr10	+	127515234-127519989;127516207-127519989;127519220-127519989;127519988-127519989	127514063-127515234;127516127-127516207;127519131-127519220;127519221-127519988;127519989-127520219	;;;;	;;;;	(127519221, 127519988)	file:///data/THelper/ranzani_2015/./voila/dpsi/T4_NvsEM//summaries/35_T4_N_T4_EM.deltapsi_quantify_deltapsi.html#BCCIP
