#Gene Name	Gene ID	LSV ID	E(dPSI) per LSV junction	P(|E(dPSI)|>=0.20) per LSV junction	Th2_e_A E(PSI)	Th17_e_A E(PSI)	LSV Type	A5SS	A3SS	ES	Num. Junctions	Num. Exons	De Novo Junctions?	chr	strand	Junctions coords	Exons coords	Exons Alternative Start	Exons Alternative End	IR coords	Voila link
PNPLA8	ENSG00000135241	ENSG00000135241:108154880-108156018:source	2.24321047141e-05;-0.28226643688;0.211301786908;-8.87506388114e-05;-2.13761389559e-05;-0.000490397067873	2.97046123398e-06;0.92523735672;0.562000103101;3.73322053749e-06;0.000275643670964;0.00214775126958	0.025;0.308;0.441;0.033;0.063;0.157	0.027;0.027;0.769;0.027;0.064;0.146	t|1e1.1o2|1e1.2o2|1e2.1o1|1e3.1o1|2e1.2o2|2e2.1o1	True	True	True	6	4	0	chr7	-	108156018-108166494;108156018-108166473;108156018-108161920;108156018-108158634;108155891-108166473;108155891-108161920	108154880-108156018;108158634-108158745;108161920-108161965;108161920-108161965;108166473-108166762;108166473-108166762;108166473-108166762	;;;;;;	;;;;;;		file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/15_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#PNPLA8
HDAC10	ENSG00000100429	ENSG00000100429:50687532-50687637:source	-2.09327732894e-05;-0.261216535142;0.272751928039	2.43340972841e-07;0.752370975146;0.781511221991	0.027;0.792;0.198	0.025;0.487;0.508	t|1e0|2e0|3e1.1o2|4e1.1o2|i	True	True	False	2	2	1	chr22	-	50687627-50687757;50687597-50687757;50687637-50687638	50687532-50687637;50687638-50687715;50687716-50687945;50687716-50687945	;;;	;;;	(50687638, 50687715)	file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/5_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#HDAC10
LGALS8	ENSG00000116977	ENSG00000116977:236705631-236706156:source	-0.00783797734454;0.322429685325;-0.167694134664	0.0163960564199;0.906332100723;0.510842457471	0.279;0.174;0.547	0.198;0.503;0.299	s|1e1.1o1|1e2.2o2|2e0|3e0|4e0|i	True	False	True	2	3	1	chr1	+	236706087-236706215;236706087-236706860;236706156-236706157	236705631-236706156;236706157-236706214;236706215-236706340;236706596-236706948	;;;	;;;	(236706157, 236706214)	file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/10_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#LGALS8
LGALS8	ENSG00000116977	ENSG00000116977:236706596-236706948:target	0.212734704572;-0.00611893042818;-0.0486839665943	0.708261808149;0.00982741197187;0.140886976868	0.126;0.347;0.526	0.362;0.270;0.368	t|1e0|2e1.1o4|2e2.3o3|i	False	True	True	2	3	1	chr1	+	236706087-236706860;236706340-236706860;236706595-236706596	236705631-236706156;236706215-236706340;236706341-236706595;236706596-236706948	;;;	;;;	(236706341, 236706595)	file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/10_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#LGALS8
LY9	ENSG00000122224	ENSG00000122224:160784210-160785129:source	0.203979016442;-0.203979016442	0.567338721982;0.567338721982	0.315;0.685	0.618;0.382	s|1e0|2e1.1o1|2e2.1o1|3e0	True	False	True	2	3	0	chr1	+	160784551-160786384;160784551-160788008	160784210-160785129;160786384-160786653;160788008-160788109	;;	;;		file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/11_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#LY9
FAM110A	ENSG00000125898	ENSG00000125898:825285-826922:target	0.235421110951;4.43033158831e-06;-0.000246053090618;4.43033158831e-06;-0.206067721452	0.753680100326;4.65981915295e-07;1.25598437828e-05;4.65981915295e-07;0.64511995661	0.708;0.026;0.042;0.026;0.243	0.966;0.026;0.026;0.026;0.026	t|1e0|2e1.1o1|2e2.1o1|2e3.1o1|2e4.1o1|3e1.1o1|4e0	True	True	True	5	5	1	chr20	+	814594-825351;816757-825351;820206-825351;821959-825351;814594-825354	814358-814594;814358-814594;816711-816757;820098-820206;821949-821959;825285-826922	;;;;;	;;;;;		file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/12_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#FAM110A
FAM110A	ENSG00000125898	ENSG00000125898:814358-814594:source	-0.000289049578065;0.239603943285;-0.200775142478	1.88496684608e-05;0.770757356393;0.632900232581	0.045;0.711;0.247	0.028;0.968;0.028	s|1e1.1o1|1e2.2o4|1e2.3o4	False	True	True	3	3	0	chr20	+	814594-820098;814594-825351;814594-825354	814358-814594;820098-820206;825285-826922;825285-826922	;;;	;;;		file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/12_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#FAM110A
ATXN7L2	ENSG00000162650	ENSG00000162650:110035208-110035426:target	0.257575862383;-0.257575862383	0.754853986837;0.754853986837	0.631;0.369	0.934;0.066	t|1e1.1o1|1e2.1o1	False	False	True	2	3	0	chr1	+	110034339-110035208;110034726-110035208	110033638-110034339;110034649-110034726;110035208-110035426	;;	;;		file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/22_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#ATXN7L2
SNHG1	ENSG00000255717	ENSG00000255717:62621490-62621536:target	6.95952279702e-06;0.350798143346;-0.353735894824	8.78016999076e-08;0.959345850607;0.966578982916	0.026;0.580;0.413	0.026;0.927;0.065	s|1e1.1o2|1e1.2o2|i	False	True	False	2	2	1	chr11	-	62621321-62621490;62621305-62621490;62621489-62621490	62621273-62621321;62621273-62621321;62621441-62621489;62621490-62621536	;;;	;;;	(62621441, 62621489)	file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/34_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#SNHG1
RP11-542C16.2	ENSG00000261915	ENSG00000261915:7221384-7221491:source	-0.233412869426;0.233412869426	0.645688159265;0.645688159265	0.845;0.155	0.529;0.471	t|1e1.1o1|i	False	False	False	1	2	1	chr17	-	7221491-7221588;7221491-7221492	7221384-7221491;7221492-7221587;7221588-7221675	;;	;;	(7221492, 7221587)	file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/34_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#RP11-542C16.2
TYMP	ENSG00000025708	ENSG00000025708:50968333-50968485:target	-0.000665252067776;0.279840000208;-0.185772133729	0.000189557617312;0.964549413805;0.619992648715	0.060;0.029;0.928	0.026;0.305;0.681	s|1e1.1o3|1e1.2o3|1e1.3o3	False	True	False	3	2	0	chr22	-	50968183-50968333;50968160-50968333;50968148-50968333	50967925-50968183;50967925-50968183;50967925-50968183;50968333-50968485	;;;	;;;		file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/1_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#TYMP
FANCG	ENSG00000221829	ENSG00000221829:35079438-35079690:source	-0.479586948691;0.479586948691	0.993805308581;0.993805308581	0.545;0.455	0.076;0.924	t|1e0|2e0|3e1.1o1|i	False	True	False	1	2	1	chr9	-	35079532-35079728;35079690-35079691	35079438-35079690;35079691-35079727;35079728-35080013	;;	;;	(35079691, 35079727)	file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/33_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#FANCG
NAE1	ENSG00000159593	ENSG00000159593:66864750-66864900:target	2.80662479096e-07;0.251161492638;2.80662479096e-07;-0.246936076824;2.80662479096e-07;2.80662479096e-07;2.80662479096e-07	1.16288653157e-09;0.804227350502;1.16288653157e-09;0.785855913302;1.16288653157e-09;1.16288653157e-09;1.16288653157e-09	0.025;0.079;0.025;0.908;0.025;0.025;0.025	0.025;0.347;0.025;0.641;0.025;0.025;0.025	s|1e1.1o2|1e1.2o2|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1|1e6.1o1	False	True	True	7	7	0	chr16	-	66862045-66864750;66861980-66864750;66861467-66864750;66860683-66864750;66860486-66864750;66857209-66864750;66855462-66864750	66855349-66855462;66857184-66857209;66860002-66860486;66860571-66860683;66861363-66861467;66861838-66862045;66861838-66862045;66864750-66864900	;;;;;;;	;;;;;;;		file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/20_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#NAE1
RELL2	ENSG00000164620	ENSG00000164620:141020238-141020644:target	-2.86710794718e-06;0.297264036857;-0.2951126582	6.32831450278e-09;0.837273289725;0.831696048202	0.026;0.213;0.780	0.025;0.532;0.462	t|1e1.1o1|1e2.1o1|i	False	False	True	2	3	1	chr5	+	141019862-141020238;141020012-141020238;141020237-141020238	141019487-141019862;141019979-141020012;141020013-141020237;141020238-141020644	;;;	;;;	(141020013, 141020237)	file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/22_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#RELL2
NPRL2	ENSG00000114388	ENSG00000114388:50386305-50386560:source	1.35236733085e-05;-0.229036992179;0.223324794696	4.65677257995e-08;0.732123327934;0.71554030293	0.025;0.914;0.082	0.026;0.662;0.330	t|1e0|2e1.2o3|3e1.2o3|i	True	True	False	2	2	1	chr3	-	50386477-50386817;50386441-50386817;50386560-50386561	50386305-50386560;50386561-50386586;50386587-50386925;50386587-50386925	;;;	;;;	(50386561, 50386586)	file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/9_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#NPRL2
PFKP	ENSG00000067057	ENSG00000067057:3147071-3147493:source	-0.239490073059;-0.000216030526145;0.296918204397	0.749846963537;6.03772255844e-07;0.908934896156	0.893;0.038;0.068	0.628;0.026;0.365	s|1e1.1o1|2e1.1o1|i	True	True	False	2	2	1	chr10	+	3147351-3147585;3147493-3147585;3147493-3147494	3147071-3147493;3147494-3147584;3147585-3147693;3147585-3147693	;;;	;;;	(3147494, 3147584)	file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/2_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#PFKP
EPC1	ENSG00000120616	ENSG00000120616:32594700-32594859:source	0.592773218498;-0.592773218498	0.999328639568;0.999328639568	0.087;0.913	0.665;0.335	t|1e1.1o1|1e2.1o1	False	False	True	2	3	0	chr10	-	32594859-32667419;32594859-32635691	32594700-32594859;32635691-32636146;32667419-32667726	;;	;;		file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/11_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#EPC1
CAMKK2	ENSG00000110931	ENSG00000110931:121687590-121687677:target	-0.708393233816;0.708393233816	0.999959825891;0.999959825891	0.837;0.163	0.147;0.853	s|1e1.1o1|1e2.1o1	False	False	True	2	3	0	chr12	-	121686537-121687590;121683043-121687590	121682943-121683043;121686409-121686537;121687590-121687677	;;	;;		file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/8_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#CAMKK2
CAMKK2	ENSG00000110931	ENSG00000110931:121682943-121683043:source	0.313685279966;-0.313685279966	0.822342297419;0.822342297419	0.160;0.840	0.511;0.489	t|1e1.1o1|1e2.1o1	False	False	True	2	3	0	chr12	-	121683043-121687590;121683043-121686409	121682943-121683043;121686409-121686537;121687590-121687677	;;	;;		file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/8_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#CAMKK2
MRPL10	ENSG00000159111	ENSG00000159111:45908677-45908900:target	2.2032176708e-05;0.234602008535;2.2032176708e-05;-0.263909522072	2.29667024602e-06;0.686174393753;2.29667024602e-06;0.773883602213	0.026;0.616;0.026;0.372	0.028;0.916;0.028;0.065	s|1e1.2o2|1e2.1o1|2e1.2o2|2e2.1o1	True	True	True	4	3	0	chr17	-	45906602-45908826;45906036-45908826;45906602-45908677;45906036-45908677	45905674-45906036;45905674-45906036;45906505-45907039;45906505-45907039;45908677-45908900	;;;;	;;;;		file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/20_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#MRPL10
MRPL10	ENSG00000159111	ENSG00000159111:45905674-45906036:source	0.309440845705;-0.215345015274;-0.00123007445014	0.849033430539;0.658606711169;0.000133159451375	0.582;0.348;0.070	0.920;0.068;0.029	t|1e1.1o2|1e1.2o2|1e2.1o1	True	False	True	3	3	0	chr17	-	45906036-45908826;45906036-45908677;45906036-45906505	45905674-45906036;45906505-45907039;45908677-45908900;45908677-45908900	;;;	;;;		file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/20_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#MRPL10
ZNF138	ENSG00000197008	ENSG00000197008:64275296-64275422:source	0.588884281623;-0.492927904374;-0.00480801716533	0.999605298213;0.978663202692;0.006005835904	0.064;0.810;0.127	0.638;0.323;0.042	s|1e1.1o3|1e1.2o3|1e2.1o1	False	True	True	3	3	0	chr7	+	64275422-64275950;64275422-64275954;64275422-64291829	64275296-64275422;64275950-64276031;64275950-64276031;64291829-64294054	;;;	;;;		file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/31_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#ZNF138
LPAR2	ENSG00000064547	ENSG00000064547:19738206-19738313:target	0.241229813158;-0.241229813158	0.723523220675;0.723523220675	0.653;0.347	0.942;0.058	s|1e1.2o2|i	False	False	False	1	2	1	chr19	-	19738093-19738206;19738205-19738206	19737352-19738155;19738156-19738205;19738206-19738313	;;	;;	(19738156, 19738205)	file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/2_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#LPAR2
BZRAP1-AS1	ENSG00000265148	ENSG00000265148:56429096-56429104:target	-0.00911255043014;-0.0177428549823;0.204025635385	0.0178802220938;0.029625118315;0.676532527293	0.828;0.164;0.026	0.724;0.045;0.231	t|1e1.1o1|1e2.1o1|1e3.1o1	False	False	True	3	4	0	chr17	+	56415040-56429096;56416808-56429096;56423704-56429096	56414697-56415040;56416604-56416808;56423641-56423704;56429096-56429104	;;;	;;;		file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/34_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#BZRAP1-AS1
ADARB1	ENSG00000197381	ENSG00000197381:46604838-46605006:target	0.265009674394;-0.265009674394	0.74426414705;0.74426414705	0.229;0.771	0.542;0.458	t|1e1.1o1|1e2.1o1	False	False	True	2	3	0	chr21	+	46603425-46604838;46604508-46604838	46603277-46603425;46604389-46604508;46604838-46605006	;;	;;		file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/31_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#ADARB1
NAP1L4	ENSG00000205531	ENSG00000205531:3000437-3000467:source	0.00309616767398;-3.41551137863e-06;-0.352411720126;0.321789314481;0.000184788086079;-0.000146535668069;-3.5909729753e-05;-3.41551137863e-06	0.00262136678464;9.77693308975e-09;0.938125755985;0.981124396302;1.97885555347e-06;1.95372678378e-06;2.00531493312e-06;9.77693308975e-09	0.141;0.025;0.727;0.039;0.035;0.035;0.035;0.025	0.194;0.025;0.372;0.353;0.043;0.025;0.033;0.025	t|1e1.1o2|1e1.2o2|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o2|1e5.2o2|1e6.1o1	True	False	True	8	7	1	chr11	-	3000467-3013484;3000467-3013459;3000467-3013024;3000467-3010359;3000467-3009307;3000467-3004992;3000467-3004976;3000467-3002932	3000437-3000467;3002932-3003029;3004976-3005043;3004976-3005043;3009307-3009356;3010359-3010501;3013024-3013332;3013459-3013607;3013459-3013607	;;;;;;;;	;;;;;;;;		file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/32_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#NAP1L4
ATG16L1	ENSG00000085978	ENSG00000085978:234181612-234181698:source	-0.380150447275;0.380150447275	0.888565737876;0.888565737876	0.634;0.366	0.230;0.770	s|1e1.1o1|1e2.2o2	False	False	True	2	3	0	chr2	+	234181698-234182367;234181698-234183322	234181612-234181698;234182367-234182423;234182950-234183424	;;	;;		file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/4_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#ATG16L1
TRAP1	ENSG00000126602	ENSG00000126602:3713425-3713563:source	-0.318066970237;0.318066970237	0.934880606096;0.934880606096	0.607;0.393	0.291;0.709	t|1e1.1o1|i	False	False	False	1	2	1	chr16	-	3713563-3714275;3713563-3713564	3713425-3713563;3713564-3714274;3714275-3714460	;;	;;	(3713564, 3714274)	file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/12_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#TRAP1
TRAP1	ENSG00000126602	ENSG00000126602:3714275-3714460:target	-0.262955626243;0.262955626243	0.820209613065;0.820209613065	0.597;0.403	0.320;0.680	s|1e1.1o1|i	False	False	False	1	2	1	chr16	-	3713563-3714275;3714274-3714275	3713425-3713563;3713564-3714274;3714275-3714460	;;	;;	(3713564, 3714274)	file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/12_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#TRAP1
TRAP1	ENSG00000126602	ENSG00000126602:3713425-3713563:target	-0.247322220457;0.247322220457	0.826748260984;0.826748260984	0.735;0.265	0.484;0.516	s|1e1.1o1|i	False	False	False	1	2	1	chr16	-	3712968-3713425;3713424-3713425	3712883-3712968;3712969-3713424;3713425-3713563	;;	;;	(3712969, 3713424)	file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/12_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#TRAP1
RNF111	ENSG00000157450	ENSG00000157450:59373135-59373483:source	-0.22289686747;0.22289686747	0.711779399691;0.711779399691	0.302;0.698	0.045;0.955	s|1e1.2o3|1e1.3o3	False	True	False	2	2	0	chr15	+	59373483-59376301;59373483-59376328	59373135-59373483;59376139-59376563;59376139-59376563	;;	;;		file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/20_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#RNF111
PPCDC	ENSG00000138621	ENSG00000138621:75320513-75320794:source	0.221570269361;6.29896643167e-05;-0.26029165981	0.671605307061;2.3435404688e-05;0.802267392429	0.671;0.027;0.319	0.956;0.033;0.033	s|1e1.3o3|1e2.1o1|1e3.1o1	False	False	True	3	4	0	chr15	+	75320794-75335782;75320794-75336727;75320794-75340894	75320513-75320794;75335616-75336067;75336727-75337509;75340894-75341062	;;;	;;;		file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/16_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#PPCDC
SRRM1	ENSG00000133226	ENSG00000133226:24993046-24993416:target	0.318875624552;-0.318875624552	0.944426954011;0.944426954011	0.607;0.393	0.925;0.075	t|1e0|2e1.1o2|2e2.1o1	False	True	True	2	3	0	chr1	+	24989295-24993306;24989715-24993306	24989151-24989559;24989674-24989715;24993046-24993416	;;	;;		file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/14_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#SRRM1
SFI1	ENSG00000198089	ENSG00000198089:32014300-32014572:target	0.206852762314;-0.206852762314	0.698706142462;0.698706142462	0.688;0.312	0.916;0.084	t|1e1.1o1|i	False	False	False	1	2	1	chr22	+	32014212-32014300;32014299-32014300	32014101-32014212;32014213-32014299;32014300-32014572	;;	;;	(32014213, 32014299)	file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/31_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#SFI1
SDHAP1	ENSG00000185485	ENSG00000185485:195698124-195698315:target	0.215564259997;-0.215564259997	0.743281069874;0.743281069874	0.041;0.959	0.272;0.728	s|1e1.1o1|1e2.1o2|2e0	True	False	True	2	3	0	chr3	-	195695256-195698194;195694861-195698194	195694750-195694861;195695086-195695256;195698124-195698315	;;	;;		file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/29_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#SDHAP1
SDHAP1	ENSG00000185485	ENSG00000185485:195694750-195694861:source	-0.345769952608;0.307879494348;0.000273002627658	0.990893929059;0.975404560971;1.46858432926e-07	0.957;0.038;0.026	0.619;0.339;0.041	t|1e1.1o2|1e2.1o2|1e2.2o2|2e0	True	True	True	3	3	1	chr3	-	195694861-195698194;195694861-195695090;195694861-195695086	195694750-195694861;195695086-195695256;195695086-195695256;195698124-195698315	;;;	;;;		file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/29_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#SDHAP1
TAF1C	ENSG00000103168	ENSG00000103168:84215547-84215664:source	-0.36758172992;0.36758172992	0.934334885282;0.934334885282	0.890;0.110	0.517;0.483	t|1e1.3o3|i	False	False	False	1	2	1	chr16	-	84215664-84215808;84215664-84215665	84215547-84215664;84215665-84215752;84215808-84216046	;;	;;	(84215665, 84215752)	file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/6_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#TAF1C
SMARCD3	ENSG00000082014	ENSG00000082014:150935850-150936283:source	-0.544708910181;0.544708910181	0.996250857197;0.996250857197	0.816;0.184	0.284;0.716	t|1e1.2o2|2e2.1o1	False	True	True	2	3	1	chr7	-	150936283-150936686;150936242-150936482	150935850-150936283;150936482-150936583;150936686-150936838	;;	;;		file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/3_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#SMARCD3
SMARCD3	ENSG00000082014	ENSG00000082014:150936686-150936838:target	0.456737439561;-0.462506662146;0.000327303995884	0.981665550002;0.965612938379;0.000448538508167	0.074;0.859;0.069	0.525;0.397;0.078	s|1e1.1o2|2e2.1o2|i	True	False	True	2	3	1	chr7	-	150936583-150936710;150936283-150936686;150936685-150936686	150935850-150936283;150936482-150936583;150936584-150936685;150936686-150936838	;;;	;;;	(150936584, 150936685)	file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/3_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#SMARCD3
CNTRL	ENSG00000119397	ENSG00000119397:123931889-123932094:source	-0.0249633586374;0.299927461759;-0.16010532687;0.000136667577912;1.80540680366e-07	0.0284252970968;0.891116128821;0.518375592165;1.8064890626e-08;1.50070100401e-12	0.174;0.380;0.428;0.026;0.025	0.064;0.686;0.213;0.035;0.025	s|1e1.1o1|1e2.1o1|1e3.1o3|1e3.2o3|1e3.3o3	False	True	True	5	4	1	chr9	+	123932094-123933437;123932094-123933686;123932094-123935521;123932094-123935635;123932094-123935645	123931889-123932094;123933437-123933481;123933686-123933826;123935521-123935787;123935521-123935787;123935521-123935787	;;;;;	;;;;;		file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/10_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#CNTRL
NSMCE1	ENSG00000169189	ENSG00000169189:27238041-27238157:source	0.229025577587;-9.86460224908e-05;-0.180533594837;1.18449823408e-05;2.27640016959e-08	0.802260534258;6.80104186725e-17;0.567820049153;1.84046480244e-12;6.78148290226e-17	0.628;0.031;0.307;0.026;0.025	0.856;0.025;0.120;0.026;0.025	t|1e1.3o3|1e2.1o2|1e2.2o2|2e1.3o3|2e2.1o2	True	True	True	5	3	1	chr16	-	27238157-27244322;27238157-27241912;27238157-27241803;27238154-27244322;27238154-27241912	27238041-27238157;27241803-27242160;27241803-27242160;27241803-27242160;27244322-27244468;27244322-27244468	;;;;;	;;;;;		file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/24_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#NSMCE1
TSC2	ENSG00000103197	ENSG00000103197:2126492-2126586:source	-1.91481698701e-05;-0.412129237625;0.417552774607	3.11906476604e-07;0.971759438185;0.97593870668	0.027;0.775;0.215	0.025;0.367;0.628	s|1e1.2o2|1e2.3o4|1e2.4o4	False	True	True	3	3	0	chr16	+	2126586-2127599;2126586-2129033;2126586-2129036	2126492-2126586;2127405-2127727;2128240-2129197;2128240-2129197	;;;	;;;		file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/6_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#TSC2
TSC2	ENSG00000103197	ENSG00000103197:2128240-2129197:target	-0.39999907179;-2.04052807325e-05;0.406101020196	0.960825728777;3.68029983627e-07;0.966680516034	0.772;0.027;0.219	0.373;0.025;0.622	t|1e0|2e0|3e1.1o1|3e2.1o1|4e1.1o1	True	True	True	3	3	0	chr16	+	2126586-2129033;2127727-2129033;2126586-2129036	2126492-2126586;2126492-2126586;2127405-2127727;2128240-2129197	;;;	;;;		file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/6_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#TSC2
EYA3	ENSG00000158161	ENSG00000158161:28362055-28362191:target	-0.256969775289;0.256969775289	0.732392189902;0.732392189902	0.405;0.595	0.096;0.904	s|1e1.1o1|1e2.1o1	False	False	True	2	3	0	chr1	-	28354437-28362055;28343750-28362055	28343665-28343750;28354300-28354437;28362055-28362191	;;	;;		file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/20_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#EYA3
HBS1L	ENSG00000112339	ENSG00000112339:135299817-135299925:target	-0.304363807671;0.304363807671	0.951548629052;0.951548629052	0.868;0.132	0.570;0.430	s|1e1.1o1|1e2.1o1	False	False	True	2	3	1	chr6	-	135290476-135299817;135287611-135299817	135287467-135287611;135290376-135290476;135299817-135299925	;;	;;		file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/9_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#HBS1L
ATP2C1	ENSG00000017260	ENSG00000017260:130649260-130649370:target	0.43037782409;-0.00442619805158;-0.391634421707;-9.74356288677e-07	0.999997161553;0.00704179866838;0.98924784062;4.2048224804e-11	0.025;0.312;0.681;0.025	0.445;0.254;0.298;0.025	t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1	False	False	True	4	5	0	chr3	+	130569772-130649260;130613181-130649260;130613619-130649260;130649093-130649260	130569439-130569772;130612812-130613181;130613379-130613619;130648842-130649093;130649260-130649370	;;;;	;;;;		file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/0_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#ATP2C1
VPS9D1	ENSG00000075399	ENSG00000075399:89778290-89778377:source	0.325942588806;-0.325942588806	0.952304351231;0.952304351231	0.646;0.354	0.966;0.034	t|1e1.1o1|i	False	False	False	1	2	1	chr16	-	89778377-89778455;89778377-89778378	89778290-89778377;89778378-89778454;89778455-89778507	;;	;;	(89778378, 89778454)	file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/3_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#VPS9D1
MAPK9	ENSG00000050748	ENSG00000050748:179707440-179707608:source	0.295088393703;-0.295088393703	0.87026227718;0.87026227718	0.490;0.510	0.799;0.201	t|1e1.1o1|1e2.1o1|2e0	False	True	True	2	3	0	chr5	-	179707608-179718848;179707608-179713975	179707440-179707608;179713975-179714067;179718848-179719099	;;	;;		file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/1_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#MAPK9
