#Gene Name	Gene ID	LSV ID	E(dPSI) per LSV junction	P(|E(dPSI)|>=0.20) per LSV junction	Th17_p_A E(PSI)	Th17_p_r E(PSI)	LSV Type	A5SS	A3SS	ES	Num. Junctions	Num. Exons	De Novo Junctions?	chr	strand	Junctions coords	Exons coords	Exons Alternative Start	Exons Alternative End	IR coords	Voila link
ZFAS1	ENSG00000177410	ENSG00000177410:47897440-47897501:source	-2.00431573536e-05;-0.260227607696;0.260029632089	4.0938469769e-09;0.886043749782;0.895500140917	0.026;0.969;0.025	0.026;0.715;0.279	s|1e1.1o1|1e2.1o1|i	False	False	True	2	3	1	chr20	+	47897501-47898289;47897501-47905582;47897501-47897502	47897440-47897501;47897502-47898288;47898289-47898355;47905582-47905797	;;;	;;;	(47897502, 47898288)	file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/50_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#ZFAS1
EXOSC9	ENSG00000123737	ENSG00000123737:122737927-122738176:target	0.228865372815;-0.228865372815	0.780300360627;0.780300360627	0.483;0.517	0.711;0.289	t|1e1.1o1|i	False	False	False	1	2	1	chr4	+	122737602-122737927;122737926-122737927	122737524-122737602;122737603-122737926;122737927-122738176	;;	;;	(122737603, 122737926)	file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/22_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#EXOSC9
CREBZF	ENSG00000137504	ENSG00000137504:85374223-85374337:source	-0.289057513234;0.289057513234	0.939687681363;0.939687681363	0.312;0.688	0.029;0.971	t|1e1.1o1|i	False	False	False	1	2	1	chr11	-	85374337-85374568;85374337-85374338	85374223-85374337;85374338-85374567;85374568-85374645	;;	;;	(85374338, 85374567)	file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/29_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#CREBZF
HNRNPU	ENSG00000153187	ENSG00000153187:245023637-245024393:source	-0.213127791847;0.213127791847	0.694503074539;0.694503074539	0.943;0.057	0.733;0.267	t|1e0|2e1.1o2|i	False	True	False	1	2	1	chr1	-	245023776-245025763;245024393-245024394	245023637-245024393;245024394-245025079;245025080-245025836	;;	;;	(245024394, 245025079)	file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/38_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#HNRNPU
CHURC1	ENSG00000258289	ENSG00000258289:65390709-65391202:source	-0.00526811685504;-0.121255991451;0.248364708248;-5.95985892823e-06	0.00136931903524;0.373297781428;0.824472445805;1.10283326301e-11	0.178;0.704;0.097;0.025	0.126;0.527;0.344;0.025	s|1e1.1o2|1e1.2o2|1e2.1o1|1e3.1o1|2e0	True	True	True	4	4	0	chr14	+	65390844-65392725;65390844-65392728;65390844-65398856;65390844-65410017	65390709-65391202;65392725-65392798;65392725-65392798;65398856-65402086;65410017-65411309	;;;;	;;;;		file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/62_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#CHURC1
FLT3LG	ENSG00000090554	ENSG00000090554:49977818-49977929:source	-0.306873419288;0.306873419288	0.942859509384;0.942859509384	0.337;0.663	0.032;0.968	s|1e1.1o3|1e1.2o3	False	True	False	2	2	0	chr19	+	49977929-49978931;49977929-49978948	49977818-49977929;49978931-49979058;49978931-49979058	;;	;;		file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/9_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#FLT3LG
FLT3LG	ENSG00000090554	ENSG00000090554:49983555-49983733:target	0.272110976992;-0.272110976992	0.734967659955;0.734967659955	0.077;0.923	0.399;0.601	t|1e1.1o2|1e2.1o1	False	False	True	2	3	0	chr19	+	49979823-49983555;49982304-49983555	49979680-49979987;49982166-49982304;49983555-49983733	;;	;;		file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/9_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#FLT3LG
SSNA1	ENSG00000176101	ENSG00000176101:140083518-140083717:target	0.335506174555;-0.335506174555	0.983421148417;0.983421148417	0.488;0.512	0.816;0.184	t|1e1.1o1|i	False	False	False	1	2	1	chr9	+	140083230-140083518;140083517-140083518	140083099-140083230;140083231-140083517;140083518-140083717	;;	;;	(140083231, 140083517)	file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/49_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#SSNA1
ODF3B	ENSG00000177989	ENSG00000177989:50969067-50969281:target	-0.278899261162;0.278899261162	0.809817001873;0.809817001873	0.744;0.256	0.440;0.560	s|1e1.1o1|2e0|i	True	False	False	1	2	1	chr22	-	50968989-50969141;50969066-50969067	50968139-50968989;50968990-50969066;50969067-50969281	;;	;;	(50968990, 50969066)	file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/50_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#ODF3B
RPS6KB2	ENSG00000175634	ENSG00000175634:67202053-67202425:source	-0.271018866248;0.271018866248	0.92245544066;0.92245544066	0.916;0.084	0.651;0.349	s|1e0|2e1.1o1|3e0|i	True	False	False	1	2	1	chr11	+	67202165-67202460;67202425-67202426	67202053-67202425;67202426-67202459;67202460-67202872	;;	;;	(67202426, 67202459)	file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/49_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#RPS6KB2
RPS6KB2	ENSG00000175634	ENSG00000175634:67202053-67202425:target	-0.316297437692;0.316297437692	0.980775118397;0.980775118397	0.950;0.050	0.641;0.359	t|1e1.1o1|i	False	False	False	1	2	1	chr11	+	67201955-67202053;67202052-67202053	67201848-67201955;67201956-67202052;67202053-67202425	;;	;;	(67201956, 67202052)	file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/49_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#RPS6KB2
RPS6KB2	ENSG00000175634	ENSG00000175634:67201848-67201955:source	-0.396533259517;0.396533259517	0.999721571669;0.999721571669	0.965;0.035	0.578;0.422	s|1e1.1o1|i	False	False	False	1	2	1	chr11	+	67201955-67202053;67201955-67201956	67201848-67201955;67201956-67202052;67202053-67202425	;;	;;	(67201956, 67202052)	file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/49_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#RPS6KB2
ST6GALNAC4	ENSG00000136840	ENSG00000136840:130679105-130679317:target	0.203275204316;-0.203275204316	0.644614424742;0.644614424742	0.769;0.231	0.973;0.027	s|1e1.1o2|1e2.2o3	False	False	True	2	3	0	chr9	-	130678773-130679105;130677120-130679105	130676935-130677145;130678255-130678773;130679105-130679317	;;	;;		file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/28_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#ST6GALNAC4
LINC-PINT	ENSG00000231721	ENSG00000231721:130629555-130629648:source	-0.379043546947;0.379043546947	0.990302236088;0.990302236088	0.399;0.601	0.029;0.971	t|1e1.1o2|i	False	False	False	1	2	1	chr7	-	130629648-130630479;130629648-130629649	130629555-130629648;130629649-130630368;130630369-130630594	;;	;;	(130629649, 130630368)	file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/61_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#LINC-PINT
LINC-PINT	ENSG00000231721	ENSG00000231721:130630369-130630594:target	-0.204756813616;-0.160573106857;-4.28162242889e-06;0.404151967271	0.662947078862;0.407364587416;1.08100821246e-09;0.999202416661	0.230;0.197;0.025;0.568	0.027;0.027;0.025;0.962	s|1e1.1o1|1e2.1o1|1e3.1o1|2e0|i	True	False	True	3	4	1	chr7	-	130629648-130630479;130629206-130630479;130626617-130630479;130630368-130630369	130626519-130626617;130628921-130629206;130629555-130629648;130629649-130630368;130630369-130630594	;;;;	;;;;	(130629649, 130630368)	file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/61_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#LINC-PINT
HDAC10	ENSG00000100429	ENSG00000100429:50686319-50686574:source	-0.257499157546;0.257499157546	0.757816002398;0.757816002398	0.834;0.166	0.543;0.457	t|1e1.1o1|2e0|i	False	True	False	1	2	1	chr22	-	50686574-50686654;50686574-50686575	50686319-50686574;50686575-50686653;50686654-50686721	;;	;;	(50686575, 50686653)	file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/10_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#HDAC10
LGALS8	ENSG00000116977	ENSG00000116977:236705631-236706156:source	-0.216481055517;0.329948446587;-0.0113386432439	0.665484414009;0.905234321609;0.0131577543515	0.526;0.272;0.202	0.276;0.605;0.119	s|1e1.1o1|1e2.2o2|2e0|3e0|4e0|i	True	False	True	2	3	1	chr1	+	236706087-236706215;236706087-236706860;236706156-236706157	236705631-236706156;236706157-236706214;236706215-236706340;236706596-236706948	;;;	;;;	(236706157, 236706214)	file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/18_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#LGALS8
LGALS8	ENSG00000116977	ENSG00000116977:236706596-236706948:target	0.307289272982;-0.262450124364;-0.00348002954011	0.940530559955;0.847600350498;0.00150777174108	0.134;0.629;0.237	0.435;0.363;0.201	t|1e0|2e1.1o4|2e2.3o3|i	False	True	True	2	3	1	chr1	+	236706087-236706860;236706340-236706860;236706595-236706596	236705631-236706156;236706215-236706340;236706341-236706595;236706596-236706948	;;;	;;;	(236706341, 236706595)	file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/18_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#LGALS8
NDST2	ENSG00000166507	ENSG00000166507:75566634-75566953:target	-0.287871734683;0.287871734683	0.895462289336;0.895462289336	0.878;0.122	0.587;0.413	s|1e1.1o1|2e0|i	True	False	False	1	2	1	chr10	-	75566569-75566866;75566633-75566634	75566415-75566569;75566570-75566633;75566634-75566953	;;	;;	(75566570, 75566633)	file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/45_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#NDST2
FAM98C	ENSG00000130244	ENSG00000130244:38895894-38896061:source	0.28280387841;-0.28280387841	0.909480289844;0.909480289844	0.687;0.313	0.970;0.030	s|1e1.1o1|i	False	False	False	1	2	1	chr19	+	38896061-38896159;38896061-38896062	38895894-38896061;38896062-38896158;38896159-38896548	;;	;;	(38896062, 38896158)	file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/24_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#FAM98C
RASSF1	ENSG00000068028	ENSG00000068028:50373808-50375003:target	3.70473429692e-06;-0.282919121543;3.70473429692e-06;0.279462919526	1.10008850561e-09;0.829763313006;1.10008850561e-09;0.822445314934	0.025;0.696;0.025;0.297	0.025;0.394;0.025;0.597	s|1e1.3o3|1e2.1o1|2e0|3e2.1o1|4e0|5e0|i	True	True	True	3	3	1	chr3	-	50374378-50374604;50369585-50374604;50369585-50374191;50373807-50373808	50369481-50369585;50369481-50369585;50369586-50373807;50373808-50375003	;;;	;;;	(50369586, 50373807)	file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/4_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#RASSF1
SH2B1	ENSG00000178188	ENSG00000178188:28884249-28884590:target	8.93343034575e-05;0.227298058677;-0.248988623407	1.02853329867e-05;0.804333576225;0.897240565325	0.025;0.715;0.282	0.030;0.962;0.030	t|1e1.1o1|2e2.1o3|2e2.2o3	True	True	True	3	3	0	chr16	+	28875266-28884249;28884026-28884491;28884079-28884491	28875126-28875266;28883855-28884134;28883855-28884134;28884249-28884590	;;;	;;;		file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/50_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#SH2B1
SH2B1	ENSG00000178188	ENSG00000178188:28883855-28884134:source	0.242161648792;4.40840576445e-05;-0.254970844413;6.08287959321e-05	0.837780561442;6.29448007648e-06;0.921302956179;6.27879121912e-06	0.700;0.026;0.283;0.025	0.959;0.029;0.029;0.029	s|1e1.2o2|1e2.1o1|2e1.2o2|2e2.1o1|3e0	True	True	True	4	3	0	chr16	+	28884026-28884491;28884026-28884768;28884079-28884491;28884079-28884768	28883855-28884134;28884249-28884590;28884249-28884590;28884768-28885526;28884768-28885526	;;;;	;;;;		file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/50_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#SH2B1
GAS5	ENSG00000234741	ENSG00000234741:173835666-173835719:source	-7.29165150444e-05;-0.250554942234;0.281045542858	1.69733099172e-10;0.788287310193;0.860865055589	0.028;0.531;0.443	0.025;0.270;0.728	t|1e1.1o1|2e1.1o1|i	True	True	False	2	2	1	chr1	-	173835719-173835899;173835705-173835899;173835719-173835720	173835666-173835719;173835720-173835771;173835899-173835934;173835899-173835934	;;;	;;;	(173835720, 173835771)	file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/61_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#GAS5
SNHG1	ENSG00000255717	ENSG00000255717:62622896-62622960:target	-0.381636266481;2.32159131048e-06;0.380847423793	0.979300436639;3.19184397939e-10;0.979188060763	0.785;0.025;0.210	0.411;0.025;0.583	s|1e1.2o4|1e1.3o4|i	False	True	False	2	2	1	chr11	-	62622688-62622896;62622680-62622896;62622895-62622896	62622605-62622708;62622605-62622708;62622839-62622895;62622896-62622960	;;;	;;;	(62622839, 62622895)	file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/61_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#SNHG1
SNHG1	ENSG00000255717	ENSG00000255717:62622605-62622708:source	1.97348617189e-06;-0.242518462462;1.97348617189e-06;0.239808265984	1.16849848034e-10;0.736750802706;1.16849848034e-10;0.730246729433	0.025;0.678;0.025;0.317	0.025;0.406;0.025;0.587	t|1e0|2e1.1o1|2e2.1o1|3e2.1o1|4e0|i	True	True	True	3	3	1	chr11	-	62622688-62623337;62622688-62622896;62622680-62622896;62622708-62622709	62622605-62622708;62622709-62622763;62622896-62622960;62622896-62622960;62623337-62623386	;;;;	;;;;	(62622709, 62622763)	file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/61_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#SNHG1
SNHG1	ENSG00000255717	ENSG00000255717:62621273-62621321:source	1.31675537408e-07;-0.00136154731869;-0.194338264936;0.227087049477	3.25078284146e-15;8.87630890747e-09;0.613277327347;0.715168739668	0.025;0.055;0.522;0.422	0.025;0.031;0.306;0.661	t|1e2.1o1|2e1.1o3|2e2.1o1|i	True	True	True	3	3	1	chr11	-	62621321-62621490;62621305-62621991;62621305-62621490;62621321-62621322	62621273-62621321;62621322-62621375;62621490-62621536;62621490-62621536;62621840-62622023	;;;;	;;;;	(62621322, 62621375)	file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/61_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#SNHG1
CCM2	ENSG00000136280	ENSG00000136280:45077852-45078025:target	0.00174498637418;-0.413155276835;7.59292415168e-06;0.335677823054;7.59292415168e-06	0.000105044777129;0.99477274062;1.00256006637e-08;0.948903925789;1.00256006637e-08	0.025;0.813;0.025;0.184;0.025	0.066;0.410;0.025;0.515;0.025	t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1|2e0	False	True	True	5	6	0	chr7	+	45039456-45077852;45039962-45077852;45066865-45077852;45067396-45077852;45069108-45077852	45039074-45039456;45039784-45039962;45066614-45066865;45067271-45067396;45069043-45069108;45077852-45078025	;;;;;	;;;;;		file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/28_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#CCM2
DIP2B	ENSG00000066084	ENSG00000066084:51053977-51054102:source	-0.208845919796;0.208845919796	0.714685578297;0.714685578297	0.960;0.040	0.739;0.261	s|1e1.1o1|1e2.1o1	False	False	True	2	3	1	chr12	+	51054102-51064969;51054102-51068257	51053977-51054102;51064969-51065181;51068257-51068412	;;	;;		file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/4_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#DIP2B
DIP2B	ENSG00000066084	ENSG00000066084:51068257-51068412:target	0.209078470325;-0.209078470325	0.696408467895;0.696408467895	0.032;0.968	0.244;0.756	t|1e1.1o1|1e2.1o1	False	False	True	2	3	1	chr12	+	51054102-51068257;51065181-51068257	51053977-51054102;51064969-51065181;51068257-51068412	;;	;;		file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/4_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#DIP2B
SATB1	ENSG00000182568	ENSG00000182568:18462177-18462880:source	0.024274374961;-0.391610779945;0.282723575486;2.85526660049e-05;1.27935446153e-10;0.000707583549464;2.04292729763e-08	4.10472225116e-06;0.987918474918;0.87645380431;4.99930475829e-15;2.24059596381e-18;6.50061812357e-11;2.24064138831e-18	0.025;0.694;0.250;0.025;0.025;0.026;0.025	0.080;0.312;0.531;0.027;0.025;0.044;0.025	t|1e0|2e1.1o1|2e2.1o1|2e3.1o1|2e4.1o1|2e5.1o1|2e6.1o2|2e6.2o2	True	True	True	7	7	1	chr3	-	18462483-18487010;18462483-18486099;18462483-18480057;18462483-18478281;18462483-18476403;18462483-18465119;18462483-18465108	18462177-18462880;18465108-18466065;18465108-18466065;18476403-18476745;18478281-18478363;18480057-18480265;18486099-18486375;18487010-18487080	;;;;;;;	;;;;;;;		file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/52_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#SATB1
ZSWIM8	ENSG00000214655	ENSG00000214655:75556511-75556772:source	0.245065464615;-0.245065464615	0.832158746902;0.832158746902	0.691;0.309	0.948;0.052	s|1e1.1o1|i	False	False	False	1	2	1	chr10	+	75556772-75556871;75556772-75556773	75556511-75556772;75556773-75556870;75556871-75557029	;;	;;	(75556773, 75556870)	file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/59_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#ZSWIM8
ZSWIM8	ENSG00000214655	ENSG00000214655:75552280-75552610:source	0.477741561204;-0.477741561204	0.994488120683;0.994488120683	0.457;0.543	0.924;0.076	s|1e1.3o5|2e2.1o1	True	False	True	2	3	1	chr10	+	75552311-75552414;75552610-75553346	75552280-75552610;75553346-75553477	;	;		file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/59_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#ZSWIM8
AGTRAP	ENSG00000177674	ENSG00000177674:11808472-11808667:source	-0.357285764284;0.357285764284	0.95823079735;0.95823079735	0.458;0.542	0.103;0.897	s|1e1.1o1|2e1.1o1	True	True	False	2	2	0	chr1	+	11808646-11810134;11808667-11810134	11808472-11808667;11810134-11810826;11810134-11810826	;;	;;		file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/50_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#AGTRAP
POLB	ENSG00000070501	ENSG00000070501:42202471-42202537:target	-0.254126626323;0.254126626323	0.754534260568;0.754534260568	0.704;0.296	0.417;0.583	t|1e1.2o2|1e2.1o2|2e0	False	True	True	2	3	0	chr8	+	42196203-42202471;42196587-42202471	42195972-42196203;42196530-42196898;42202471-42202537	;;	;;		file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/5_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#POLB
POLB	ENSG00000070501	ENSG00000070501:42195972-42196203:source	1.54002879747e-05;0.207436513767;-0.214046307676	3.3499860856e-08;0.629742470982;0.648007311259	0.025;0.272;0.725	0.026;0.536;0.457	s|1e2.1o1|2e1.1o1|2e3.1o2	True	False	True	3	4	0	chr8	+	42196146-42197211;42196203-42196530;42196203-42202471	42195972-42196203;42196530-42196898;42197211-42197665;42202471-42202537	;;;	;;;		file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/5_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#POLB
GPBP1L1	ENSG00000159592	ENSG00000159592:46152084-46152325:target	-0.462767622979;0.462767622979	0.975454027885;0.975454027885	0.763;0.237	0.305;0.695	s|1e1.1o1|1e2.1o1	False	False	True	2	3	0	chr1	-	46151292-46152084;46126897-46152084	46126089-46126897;46151248-46151292;46152084-46152325	;;	;;		file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/40_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#GPBP1L1
TMEM69	ENSG00000159596	ENSG00000159596:46152886-46153953:source	-0.000328409047185;0.272025704298;-0.245395163619;3.92973768419e-05	1.9933814483e-05;0.753420770464;0.718673441746;5.80298086025e-06	0.042;0.593;0.361;0.026	0.028;0.915;0.064;0.028	s|1e1.1o1|2e1.1o1|2e2.1o1|3e1.1o1	True	True	True	4	3	1	chr1	+	46153925-46156646;46153947-46156646;46153947-46158876;46153953-46156646	46152886-46153953;46156646-46156782;46156646-46156782;46156646-46156782;46158876-46160115	;;;;	;;;;		file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/40_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#TMEM69
RPL41	ENSG00000229117	ENSG00000229117:56510552-56510714:source	-0.258044730059;0.000137842580404;0.000261019431696;-9.67441103957e-06;-8.18194821215e-05;0.263362720328	0.966329642225;2.63345478771e-09;1.23680978243e-08;9.2444257293e-14;1.18298217614e-12;0.925946230531	0.277;0.025;0.025;0.025;0.029;0.660	0.026;0.031;0.036;0.025;0.025;0.917	s|1e1.1o1|1e2.1o1|2e1.1o1|3e1.1o1|4e1.1o1|i	True	True	True	5	3	1	chr12	+	56510583-56510973;56510583-56511266;56510613-56510973;56510647-56510973;56510714-56510973;56510714-56510715	56510552-56510714;56510715-56510972;56510973-56510999;56510973-56510999;56510973-56510999;56510973-56510999;56511266-56511727	;;;;;;	;;;;;;	(56510715, 56510972)	file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/61_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#RPL41
RPL41	ENSG00000229117	ENSG00000229117:56510973-56510999:source	0.264333224612;6.13796357504e-05;-0.281773543162	0.740505895338;2.64251038115e-06;0.78172853422	0.489;0.025;0.506	0.803;0.029;0.184	s|1e1.1o1|2e1.1o1|i	True	True	False	2	2	1	chr12	+	56510995-56511266;56510999-56511266;56510999-56511000	56510973-56510999;56511000-56511265;56511266-56511727;56511266-56511727	;;;	;;;	(56511000, 56511265)	file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/61_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#RPL41
NPRL2	ENSG00000114388	ENSG00000114388:50387344-50387796:target	1.8679726602e-05;1.8679726602e-05;-0.45859086932;-0.00621155458321;1.8679726602e-05;-0.000141319821352;0.55710557124	1.04777598648e-06;1.04777598648e-06;0.972363417319;0.00389427804663;1.04777598648e-06;1.74251052357e-06;0.999033787203	0.025;0.025;0.719;0.126;0.025;0.033;0.119	0.026;0.026;0.265;0.053;0.026;0.026;0.663	s|1e1.1o2|1e1.2o2|2e1.1o2|2e1.2o2|2e2.1o2|3e1.1o2|i	True	True	True	6	3	1	chr3	-	50387264-50387364;50387259-50387364;50387264-50387362;50387259-50387362;50386925-50387362;50387264-50387344;50387343-50387344	50386587-50386925;50387096-50387264;50387096-50387264;50387096-50387264;50387096-50387264;50387096-50387264;50387265-50387343;50387344-50387796	;;;;;;;	;;;;;;;	(50387265, 50387343)	file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/17_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#NPRL2
NPRL2	ENSG00000114388	ENSG00000114388:50386305-50386560:source	-6.75520135535e-06;0.257278155397;-0.24492095812	1.70981658072e-06;0.891307529184;0.868576669053	0.028;0.711;0.268	0.028;0.968;0.027	t|1e0|2e1.2o3|3e1.2o3|i	True	True	False	2	2	1	chr3	-	50386477-50386817;50386441-50386817;50386560-50386561	50386305-50386560;50386561-50386586;50386587-50386925;50386587-50386925	;;;	;;;	(50386561, 50386586)	file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/17_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#NPRL2
EPC1	ENSG00000120616	ENSG00000120616:32575622-32575770:source	-0.314528004553;0.314528004553	0.978997808951;0.978997808951	0.975;0.025	0.668;0.332	t|1e1.1o1|i	False	False	False	1	2	1	chr10	-	32575770-32575854;32575770-32575771	32575622-32575770;32575771-32575853;32575854-32575943	;;	;;	(32575771, 32575853)	file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/20_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#EPC1
MELK	ENSG00000165304	ENSG00000165304:36581641-36581736:target	0.3298356768;-0.0762127248326;-0.142954074094	0.968367358584;0.194700056192;0.348056048095	0.559;0.244;0.197	0.883;0.089;0.033	t|1e1.1o2|1e1.2o2|1e2.1o1	True	False	True	3	3	1	chr9	+	36573004-36581641;36573195-36581641;36580152-36581641	36572859-36573195;36572859-36573195;36580070-36580152;36581641-36581736	;;;	;;;		file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/43_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#MELK
HTRA2	ENSG00000115317	ENSG00000115317:74757117-74757639:target	-0.0711731447261;0.394590119858;-0.0787971694649	0.210642686048;0.924305406741;0.233786043491	0.246;0.306;0.447	0.065;0.712;0.224	t|1e0|2e0|3e0|4e0|5e1.1o1|6e1.1o1|i	True	True	False	2	2	1	chr2	+	74757039-74757572;74757039-74757588;74757116-74757117	74756504-74757039;74756504-74757039;74757040-74757116;74757117-74757639	;;;	;;;	(74757040, 74757116)	file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/17_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#HTRA2
ZFYVE27	ENSG00000155256	ENSG00000155256:99496878-99497082:source	-0.290073003418;-0.000385347337901;0.360815423807	0.742139569422;4.7684556661e-05;0.901433112896	0.907;0.046;0.051	0.561;0.031;0.423	s|1e1.1o2|1e2.1o1|2e1.1o2	True	True	True	3	3	0	chr10	+	99497078-99498234;99497078-99504486;99497082-99498234	99496878-99497082;99498234-99498602;99498234-99498602;99504486-99504672	;;;	;;;		file:///data/THelper/./voila/dpsi/TH17p_PolyAvTotal//summaries/39_Th17_p_A_Th17_p_r.deltapsi_quantify_deltapsi.html#ZFYVE27
