#Gene Name	Gene ID	LSV ID	E(dPSI) per LSV junction	P(|E(dPSI)|>=0.20) per LSV junction	Th1_e_A E(PSI)	Th2_e_A E(PSI)	LSV Type	A5SS	A3SS	ES	Num. Junctions	Num. Exons	De Novo Junctions?	chr	strand	Junctions coords	Exons coords	Exons Alternative Start	Exons Alternative End	IR coords	Voila link
FAM110A	ENSG00000125898	ENSG00000125898:814358-814594:source	0.000279720486115;-0.256163742683;0.212546180137	1.58942646308e-05;0.829724975654;0.66872546792	0.026;0.972;0.026	0.044;0.714;0.244	s|1e1.1o1|1e2.2o4|1e2.3o4	False	True	True	3	3	0	chr20	+	814594-820098;814594-825351;814594-825354	814358-814594;820098-820206;825285-826922;825285-826922	;;;	;;;		file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/14_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#FAM110A
HNRNPU-AS1	ENSG00000188206	ENSG00000188206:245012090-245012158:source	-0.213003454129;2.27035671588e-05;0.200691246879	0.606880344059;1.16325387002e-06;0.572796473003	0.468;0.026;0.524	0.170;0.028;0.818	t|1e1.1o1|1e2.1o1|i	False	False	True	2	3	1	chr1	-	245012158-245018275;245012158-245017620;245012158-245012159	245012090-245012158;245012159-245017619;245017620-245017805;245018275-245018346	;;;	;;;	(245012159, 245017619)	file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/32_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#HNRNPU-AS1
COG7	ENSG00000168434	ENSG00000168434:23399814-23400407:source	0.216668198527;-0.216668198527	0.738507899005;0.738507899005	0.731;0.269	0.968;0.032	t|1e1.1o1|1e2.1o2	False	False	True	2	3	0	chr16	-	23400407-23403701;23400407-23403283	23399814-23400407;23403164-23403555;23403701-23403844	;;	;;		file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/27_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#COG7
PHF20L1	ENSG00000129292	ENSG00000129292:133815786-133816277:source	-2.18785497289e-05;0.275241714062;-0.262246175607	1.03514382257e-06;0.850319310177;0.806378991535	0.028;0.051;0.939	0.026;0.344;0.650	s|1e1.1o3|1e1.2o3|1e1.3o3	False	True	False	3	2	0	chr8	+	133816277-133816826;133816277-133816857;133816277-133816860	133815786-133816277;133816826-133816985;133816826-133816985;133816826-133816985	;;;	;;;		file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/14_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#PHF20L1
EPC1	ENSG00000120616	ENSG00000120616:32562091-32562209:target	-0.000376227604428;-0.129820963999;0.210821224949	0.000199601754287;0.388124782326;0.648988547234	0.061;0.885;0.057	0.044;0.628;0.331	s|1e1.1o1|1e2.2o2|i	False	False	True	2	3	1	chr10	-	32562010-32562091;32561095-32562091;32562090-32562091	32560954-32561177;32561942-32562010;32562011-32562090;32562091-32562209	;;;	;;;	(32562011, 32562090)	file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/12_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#EPC1
MARCH2	ENSG00000099785	ENSG00000099785:8478154-8478304:source	0.234568831121;-4.93169614952e-06;-0.00192421597833;-0.0777493585311	0.684332962075;8.89936131688e-08;0.000427629654027;0.231849891542	0.158;0.026;0.079;0.756	0.453;0.026;0.026;0.536	s|1e1.2o4|1e1.3o4|1e1.4o4|1e2.1o2	False	True	True	4	3	1	chr19	+	8478304-8483421;8478304-8483423;8478304-8483626;8478304-8486673	8478154-8478304;8483289-8483691;8483289-8483691;8483289-8483691;8486673-8486900	;;;;	;;;;		file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/6_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#MARCH2
THEM4	ENSG00000159445	ENSG00000159445:151867306-151867670:source	-0.225939150065;0.225939150065	0.752835091159;0.752835091159	0.973;0.027	0.744;0.256	t|1e1.1o1|1e2.1o1	False	False	True	2	3	1	chr1	-	151867670-151881836;151867670-151879797	151867306-151867670;151879797-151879882;151881836-151882284	;;	;;		file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/23_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#THEM4
PGS1	ENSG00000087157	ENSG00000087157:76394333-76394432:target	-0.200141316058;0.200141316058	0.654149786014;0.654149786014	0.238;0.762	0.028;0.972	t|1e1.1o1|1e2.1o1	False	False	True	2	3	0	chr17	+	76388746-76394333;76392466-76394333	76388557-76388746;76392389-76392466;76394333-76394432	;;	;;		file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/4_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#PGS1
RHOT2	ENSG00000140983	ENSG00000140983:721082-721312:target	0.234161809656;-0.10290586695;-0.0220465748646	0.800696688788;0.0249500150936;0.0453143394419	0.185;0.133;0.683	0.422;0.025;0.575	t|1e0|2e1.4o4|3e1.4o4|i	True	True	False	2	2	1	chr16	+	721000-721083;721000-721115;721081-721082	720774-721000;720774-721000;721001-721081;721082-721312	;;;	;;;	(721001, 721081)	file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/19_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#RHOT2
RHOT2	ENSG00000140983	ENSG00000140983:720774-721000:source	0.288279869997;-0.0872788439166;-0.0911335901081	0.943191548777;0.00807887634982;0.268812139861	0.174;0.122;0.704	0.456;0.025;0.541	s|1e0|2e0|3e0|4e1.2o3|4e1.3o3|i	True	True	False	2	2	1	chr16	+	721000-721083;721000-721115;721000-721001	720774-721000;721001-721081;721082-721312;721082-721312	;;;	;;;	(721001, 721081)	file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/19_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#RHOT2
CHFR	ENSG00000072609	ENSG00000072609:133446202-133446276:target	6.45760777394e-06;-0.21632533066;0.208999532378	2.97464057427e-08;0.736472016443;0.705037232041	0.025;0.270;0.725	0.026;0.040;0.955	s|1e0|2e2.3o3|3e1.1o1|3e2.2o3|4e0	True	True	True	3	3	1	chr12	-	133438153-133446210;133439011-133446205;133438220-133446205	133438051-133438490;133438051-133438490;133438919-133439011;133446202-133446276	;;;	;;;		file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/3_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#CHFR
DPP7	ENSG00000176978	ENSG00000176978:140009099-140009178:target	-0.210425402696;0.210425402696	0.69732312962;0.69732312962	0.901;0.099	0.671;0.329	s|1e1.1o2|i	False	False	False	1	2	1	chr9	-	140009028-140009099;140009098-140009099	140008915-140009028;140009029-140009098;140009099-140009178	;;	;;	(140009029, 140009098)	file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/30_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#DPP7
DPP7	ENSG00000176978	ENSG00000176978:140008915-140009028:source	3.5263995607e-07;-0.210481481062;0.209867469442	6.77754567403e-13;0.682346638286;0.68085047186	0.025;0.726;0.270	0.025;0.485;0.511	t|1e0|1e1.1o1|1e2.1o1|2e0|i	False	True	True	2	3	1	chr9	-	140009028-140009427;140009028-140009099;140009028-140009029	140008915-140009028;140009029-140009098;140009099-140009178;140009427-140009629	;;;	;;;	(140009029, 140009098)	file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/30_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#DPP7
UBAP2L	ENSG00000143569	ENSG00000143569:154241233-154241430:source	-0.0149451955242;-0.0308570139901;0.254767231235	0.0323917110093;0.083428939996;0.919550721872	0.399;0.582;0.027	0.284;0.440;0.276	s|1e1.1o1|1e2.1o1|1e3.1o1	False	False	True	3	4	0	chr1	+	154241430-154241838;154241430-154242676;154241430-154243357	154241233-154241430;154241838-154242171;154242676-154243329;154243357-154243986	;;;	;;;		file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/20_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#UBAP2L
ADARB1	ENSG00000197381	ENSG00000197381:46591525-46591674:target	-0.00548884683552;-0.0010418904481;-0.214026766647;0.284371267056;0.00161995720315	0.00395536822472;0.00620186559816;0.702123411698;0.905286663413;0.000525203116507	0.128;0.547;0.290;0.025;0.036	0.048;0.527;0.043;0.304;0.084	t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1|2e0	False	True	True	5	6	1	chr21	+	46494708-46591525;46548488-46591525;46554747-46591525;46572623-46591525;46580138-46591525	46494484-46494708;46548317-46548488;46554630-46554747;46572613-46572623;46580128-46580138;46591525-46591674	;;;;;	;;;;;		file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/32_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#ADARB1
NAP1L4	ENSG00000205531	ENSG00000205531:2974068-2974163:target	-0.214023226749;0.214023226749	0.62483138031;0.62483138031	0.360;0.640	0.071;0.929	s|1e1.1o1|i	False	False	False	1	2	1	chr11	-	2973039-2974068;2974067-2974068	2973010-2973039;2974000-2974067;2974068-2974163	;;	;;	(2974000, 2974067)	file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/34_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#NAP1L4
NAP1L4	ENSG00000205531	ENSG00000205531:3000437-3000467:source	-0.121037316008;-7.04863899657e-06;0.608132121178;-0.392623363379;-0.0010340517925;0.000140963502727;0.000130412141962;3.12430288988e-06	0.381983472816;9.70325355734e-09;0.999995080474;0.993467695015;5.83408874491e-06;2.0730905469e-06;2.04231067064e-06;9.59161271503e-09	0.349;0.026;0.134;0.422;0.065;0.025;0.026;0.025	0.142;0.025;0.726;0.039;0.035;0.035;0.035;0.025	t|1e1.1o2|1e1.2o2|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o2|1e5.2o2|1e6.1o1	True	False	True	8	7	1	chr11	-	3000467-3013484;3000467-3013459;3000467-3013024;3000467-3010359;3000467-3009307;3000467-3004992;3000467-3004976;3000467-3002932	3000437-3000467;3002932-3003029;3004976-3005043;3004976-3005043;3009307-3009356;3010359-3010501;3013024-3013332;3013459-3013607;3013459-3013607	;;;;;;;;	;;;;;;;;		file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/34_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#NAP1L4
CHERP	ENSG00000085872	ENSG00000085872:16630715-16631076:source	0.217982891682;-0.217982891682	0.741662739564;0.741662739564	0.725;0.275	0.951;0.049	t|1e1.1o1|i	False	False	False	1	2	1	chr19	-	16631076-16631175;16631076-16631077	16630715-16631076;16631077-16631174;16631175-16631318	;;	;;	(16631077, 16631174)	file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/4_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#CHERP
CIITA	ENSG00000179583	ENSG00000179583:10995371-10995415:source	-2.5777264454e-05;0.533368174687;-0.528767251341	2.39165748279e-06;0.994621832421;0.993940361097	0.028;0.253;0.735	0.026;0.775;0.217	s|1e1.2o2|1e2.1o2|1e3.1o1	False	False	True	3	4	0	chr16	+	10995415-10995655;10995415-10995895;10995415-10996515	10995371-10995415;10995416-10995894;10995895-10996041;10996515-10996658	;;;	;;;		file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/31_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#CIITA
PQLC3	ENSG00000162976	ENSG00000162976:11317863-11319000:target	0.000361656902741;1.20255426086e-06;-0.249065915736;0.203029569508	3.69240475433e-06;6.70270763834e-10;0.745064334624;0.62283142934	0.031;0.025;0.660;0.310	0.049;0.025;0.372;0.575	t|1e1.2o4|1e2.1o1|1e3.2o3|1e4.1o1	False	False	True	4	5	1	chr2	+	11300874-11317863;11304387-11317863;11312171-11317863;11315135-11317863	11300751-11300945;11304330-11304387;11311988-11312172;11315094-11315135;11317863-11319000	;;;;	;;;;		file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/25_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#PQLC3
PQLC3	ENSG00000162976	ENSG00000162976:11311988-11312172:source	-0.0219916061099;0.335806505288;-0.130039324624	0.00597086290531;0.925651339011;0.401226648989	0.112;0.240;0.648	0.026;0.580;0.414	s|1e0|2e1.1o1|2e2.1o1|2e3.1o1|3e0	True	False	True	3	4	0	chr2	+	11312171-11312877;11312171-11315094;11312171-11317863	11311988-11312172;11312877-11312950;11315094-11315135;11317863-11319000	;;;	;;;		file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/25_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#PQLC3
MED14	ENSG00000180182	ENSG00000180182:40523559-40523741:source	-0.242195353536;0.242195353536	0.775668689298;0.775668689298	0.278;0.722	0.028;0.972	t|1e1.1o1|1e2.1o1|2e0	False	True	True	2	3	1	chrX	-	40523741-40531113;40523741-40525972	40523559-40523741;40525972-40526103;40531113-40531224	;;	;;		file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/31_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#MED14
SFI1	ENSG00000198089	ENSG00000198089:31892261-31892623:source	7.33985579968e-07;-0.269572658716;0.270256857467	4.75192245259e-08;0.870580639081;0.881355847208	0.026;0.959;0.036	0.026;0.685;0.307	s|1e1.1o1|1e2.1o2|1e2.2o2	False	True	True	3	3	0	chr22	+	31892623-31893234;31892623-31904241;31892623-31904245	31892261-31892623;31893234-31893334;31904241-31904362;31904241-31904362	;;;	;;;		file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/33_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#SFI1
SFI1	ENSG00000198089	ENSG00000198089:31904241-31904362:target	5.25361967527e-07;-0.263280304628;5.25361967527e-07;0.26453605492	2.47693274742e-08;0.855311728205;2.47693274742e-08;0.871665742495	0.026;0.958;0.026;0.035	0.026;0.689;0.026;0.300	t|1e0|1e1.1o1|1e2.1o1|1e3.1o1|2e2.1o1	True	True	True	4	4	0	chr22	+	31884769-31904241;31892623-31904241;31893334-31904241;31892623-31904245	31884674-31884769;31892261-31892623;31892261-31892623;31893234-31893334;31904241-31904362	;;;;	;;;;		file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/33_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#SFI1
SDHAP1	ENSG00000185485	ENSG00000185485:195698124-195698315:target	-0.206405757774;0.206405757774	0.660885489749;0.660885489749	0.284;0.716	0.041;0.959	s|1e1.1o1|1e2.1o2|2e0	True	False	True	2	3	0	chr3	-	195695256-195698194;195694861-195698194	195694750-195694861;195695086-195695256;195698124-195698315	;;	;;		file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/31_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#SDHAP1
SDHAP1	ENSG00000185485	ENSG00000185485:195694750-195694861:source	0.267802218435;-0.0306484883579;-0.0497139605438	0.834994706475;0.0602442038603;0.0811109144249	0.674;0.173;0.153	0.955;0.039;0.026	t|1e1.1o2|1e2.1o2|1e2.2o2|2e0	True	True	True	3	3	1	chr3	-	195694861-195698194;195694861-195695090;195694861-195695086	195694750-195694861;195695086-195695256;195695086-195695256;195698124-195698315	;;;	;;;		file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/31_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#SDHAP1
NAPRT	ENSG00000147813	ENSG00000147813:144658816-144659012:source	2.48734727091e-05;0.225627176871;-0.248075047564	8.59378203916e-10;0.786653353975;0.873451480021	0.025;0.661;0.336	0.027;0.891;0.090	t|1e1.1o2|1e2.1o2|2e0|i	False	True	True	2	3	1	chr8	-	144659012-144659439;144659012-144659232;144659012-144659013	144658816-144659012;144659013-144659112;144659113-144659347;144659437-144659569	;;;	;;;	(144659013, 144659112)	file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/21_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#NAPRT
TAF1C	ENSG00000103168	ENSG00000103168:84215102-84215269:target	-0.480758726002;0.480758726002	0.990699456497;0.990699456497	0.797;0.203	0.326;0.674	s|1e1.1o1|2e0|i	True	False	False	1	2	1	chr16	-	84215069-84215198;84215101-84215102	84215036-84215069;84215070-84215101;84215102-84215269	;;	;;	(84215070, 84215101)	file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/7_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#TAF1C
LY9	ENSG00000122224	ENSG00000122224:160793971-160794042:source	-3.06767169966e-06;-0.28801573326;0.289565463278	4.16819387609e-08;0.905926585178;0.91800971006	0.026;0.955;0.040	0.026;0.666;0.328	s|1e1.1o1|1e2.1o1|2e2.1o1	True	True	True	3	3	1	chr1	+	160794039-160796725;160794039-160797538;160794042-160797538	160793971-160794042;160796725-160796809;160797538-160798051;160797538-160798051	;;;	;;;		file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/12_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#LY9
LY9	ENSG00000122224	ENSG00000122224:160789111-160789164:source	-0.351493238131;0.351493238131	0.96223203061;0.96223203061	0.921;0.079	0.574;0.426	s|1e1.1o2|1e1.2o2	False	True	False	2	2	0	chr1	+	160789164-160793255;160789164-160793297	160789111-160789164;160793255-160793325;160793255-160793325	;;	;;		file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/12_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#LY9
LY9	ENSG00000122224	ENSG00000122224:160797538-160798051:target	-0.000129347069766;-0.279400522771;0.258602288142;0.00246306266655	1.2790285972e-06;0.85126967993;0.865186804894;0.000391637804766	0.035;0.901;0.037;0.038	0.025;0.606;0.298;0.091	t|1e1.1o1|1e2.1o2|1e2.2o2|1e3.1o1	True	False	True	4	4	1	chr1	+	160793586-160797538;160794039-160797538;160794042-160797538;160796809-160797538	160793416-160793586;160793971-160794042;160793971-160794042;160796725-160796809;160797538-160798051	;;;;	;;;;		file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/12_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#LY9
GOSR2	ENSG00000108433	ENSG00000108433:45015965-45017226:source	-0.000381920858496;-0.000252931283316;-0.183448330995;0.270083880509	3.47965840881e-05;1.86597442187e-05;0.565838882585;0.828563844731	0.050;0.044;0.239;0.672	0.028;0.028;0.028;0.962	s|1e1.1o1|1e2.1o1|1e3.1o1|2e0|3e0|4e0|i	True	False	True	3	4	1	chr17	+	45016070-45017921;45016070-45041063;45016070-45043900;45017226-45017227	45015965-45017226;45017227-45017920;45017921-45018161;45041063-45041123;45043900-45044385	;;;;	;;;;	(45017227, 45017920)	file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/9_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#GOSR2
NAA60	ENSG00000122390	ENSG00000122390:3534762-3535207:source	-0.263559399278;0.263559399278	0.934816853295;0.934816853295	0.947;0.053	0.689;0.311	s|1e0|2e0|3e0|4e0|5e1.1o1|6e1.1o1|7e0	True	True	False	2	2	0	chr16	+	3535061-3535467;3535083-3535467	3534762-3535207;3535467-3536963;3535467-3536963	;;	;;		file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/12_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#NAA60
PRUNE	ENSG00000143363	ENSG00000143363:151006282-151008189:target	-0.127474669048;0.218031448387;-0.00080452657476	0.392905438903;0.719150154606;2.76116826304e-05	0.237;0.703;0.060	0.042;0.951;0.026	t|1e1.1o1|1e2.1o2|1e3.1o1	False	False	True	3	4	1	chr1	+	150999803-151006282;151001420-151006282;151003940-151006282	150999709-150999803;151001262-151001429;151003848-151003940;151006282-151008189	;;;	;;;		file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/20_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#PRUNE
NSMCE1	ENSG00000169189	ENSG00000169189:27238041-27238157:source	-0.237214882451;7.94873280706e-05;0.255621093801;-0.00121687094814;-1.70788603839e-08	0.845640698394;7.50085147394e-13;0.939417081372;1.31182186895e-07;2.49108371655e-17	0.863;0.026;0.056;0.058;0.025	0.630;0.031;0.305;0.026;0.025	t|1e1.3o3|1e2.1o2|1e2.2o2|2e1.3o3|2e2.1o2	True	True	True	5	3	1	chr16	-	27238157-27244322;27238157-27241912;27238157-27241803;27238154-27244322;27238154-27241912	27238041-27238157;27241803-27242160;27241803-27242160;27241803-27242160;27244322-27244468;27244322-27244468	;;;;;	;;;;;		file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/27_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#NSMCE1
TSC2	ENSG00000103197	ENSG00000103197:2126492-2126586:source	1.93839404764e-05;0.402763564975;-0.408859368031	3.35384552536e-07;0.965590857103;0.970873654877	0.025;0.372;0.623	0.027;0.772;0.218	s|1e1.2o2|1e2.3o4|1e2.4o4	False	True	True	3	3	0	chr16	+	2126586-2127599;2126586-2129033;2126586-2129036	2126492-2126586;2127405-2127727;2128240-2129197;2128240-2129197	;;;	;;;		file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/7_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#TSC2
TSC2	ENSG00000103197	ENSG00000103197:2128240-2129197:target	0.402337186941;2.00258461679e-05;-0.408560610887	0.96770632429;3.72283081101e-07;0.972996161832	0.373;0.025;0.622	0.772;0.027;0.218	t|1e0|2e0|3e1.1o1|3e2.1o1|4e1.1o1	True	True	True	3	3	0	chr16	+	2126586-2129033;2127727-2129033;2126586-2129036	2126492-2126586;2126492-2126586;2127405-2127727;2128240-2129197	;;;	;;;		file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/7_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#TSC2
ATP5I	ENSG00000169020	ENSG00000169020:668001-668127:target	-0.396977675573;0.278720083711;0.00230338638475	0.930006526917;0.750336820304;0.000644506775705	0.754;0.243;0.025	0.352;0.565;0.084	s|1e1.2o2|1e2.1o1|i	False	False	True	2	3	1	chr4	-	667755-668001;667190-668001;668000-668001	667091-667190;667701-667910;667911-668000;668001-668127	;;;	;;;	(667911, 668000)	file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/27_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#ATP5I
GSTM2	ENSG00000213366	ENSG00000213366:110213281-110214004:target	0.289419897948;-0.289568507862;-3.9074999841e-07	0.79789112878;0.798600713652;2.43115700972e-08	0.369;0.624;0.026	0.696;0.298;0.026	t|1e0|2e1.2o2|2e2.1o1|3e1.2o2	True	True	True	3	3	0	chr1	+	110212193-110213909;110212856-110213909;110212193-110213936	110212093-110212193;110212093-110212193;110212773-110212856;110213281-110214004	;;;	;;;		file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/34_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#GSTM2
MAP2K5	ENSG00000137764	ENSG00000137764:67855621-67855688:source	0.25224557738;-0.25224557738	0.776898737631;0.776898737631	0.693;0.307	0.968;0.032	s|1e1.1o1|1e2.3o3	False	False	True	2	3	1	chr15	+	67855688-67873092;67855688-67878228	67855621-67855688;67873092-67873161;67878080-67878268	;;	;;		file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/18_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#MAP2K5
MAP2K5	ENSG00000137764	ENSG00000137764:67878080-67878268:target	-0.262445874066;0.262445874066	0.821701215605;0.821701215605	0.292;0.708	0.027;0.973	t|1e0|2e0|3e1.1o1|3e2.1o1	False	True	True	2	3	1	chr15	+	67855688-67878228;67873161-67878228	67855621-67855688;67873092-67873161;67878080-67878268	;;	;;		file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/18_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#MAP2K5
MGEA5	ENSG00000198408	ENSG00000198408:103552365-103552703:source	-0.00340329446631;0.283093088726;-2.25366564781e-06;-0.0385192024434;-0.0262179114685	0.000331234973176;0.918474383178;2.59591164184e-14;0.000951196369861;0.0433288488571	0.148;0.438;0.025;0.102;0.301	0.091;0.718;0.025;0.025;0.189	t|1e0|2e1.1o2|2e2.1o1|2e3.1o1|3e2.1o1|i	True	True	True	4	4	1	chr10	-	103552700-103557737;103552700-103553670;103552700-103553443;103552658-103553670;103552703-103552704	103552365-103552703;103552704-103553442;103553443-103553501;103553670-103553852;103553670-103553852;103556803-103557911	;;;;;	;;;;;	(103552704, 103553442)	file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/33_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#MGEA5
POLQ	ENSG00000051341	ENSG00000051341:121186366-121186487:target	-0.262934537186;2.23065014393e-06;0.263899192441	0.783355857668;1.85913171321e-08;0.78852251864	0.858;0.026;0.136	0.563;0.026;0.430	s|1e1.1o1|1e2.1o1|1e3.1o1	False	False	True	3	4	1	chr3	-	121179081-121186366;121174759-121186366;121168273-121186366	121168162-121168273;121174749-121174759;121178897-121179081;121186366-121186487	;;;	;;;		file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/1_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#POLQ
MAPK9	ENSG00000050748	ENSG00000050748:179707440-179707608:source	-0.356542785322;0.356542785322	0.977224685171;0.977224685171	0.835;0.165	0.485;0.515	t|1e1.1o1|1e2.1o1|2e0	False	True	True	2	3	0	chr5	-	179707608-179718848;179707608-179713975	179707440-179707608;179713975-179714067;179718848-179719099	;;	;;		file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/1_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#MAPK9
WSB1	ENSG00000109046	ENSG00000109046:25634770-25635873:target	-0.275293578127;0.000205090590548;0.219897361037	0.872881225316;2.080365146e-08;0.720554870683	0.727;0.025;0.270	0.447;0.038;0.514	t|1e1.2o2|2e1.2o2|i	True	True	False	2	2	1	chr17	+	25633908-25634770;25633908-25635630;25634769-25634770	25633808-25633908;25633808-25633908;25633909-25634769;25634770-25635873	;;;	;;;	(25633909, 25634769)	file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/9_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#WSB1
CCS	ENSG00000173992	ENSG00000173992:66366587-66366724:source	-0.298267654018;0.298267654018	0.923005731792;0.923005731792	0.942;0.058	0.646;0.354	s|1e1.1o1|i	False	False	False	1	2	1	chr11	+	66366724-66366930;66366724-66366725	66366587-66366724;66366725-66366929;66366930-66367274	;;	;;	(66366725, 66366929)	file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/29_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#CCS
AAMDC	ENSG00000087884	ENSG00000087884:77583221-77583407:target	-0.218963767672;0.218963767672	0.716110101769;0.716110101769	0.290;0.710	0.043;0.957	t|1e1.1o1|1e2.1o1	False	False	True	2	3	0	chr11	+	77553674-77583221;77580863-77583221	77553525-77553674;77580768-77580863;77583221-77583407	;;	;;		file:///data/THelper/./voila/dpsi/TH1e_TH2e//summaries/4_Th1_e_A_Th2_e_A.deltapsi_quantify_deltapsi.html#AAMDC
