#Gene Name	Gene ID	LSV ID	E(dPSI) per LSV junction	P(|E(dPSI)|>=0.20) per LSV junction	Th1_e_A E(PSI)	Th1_e_r E(PSI)	LSV Type	A5SS	A3SS	ES	Num. Junctions	Num. Exons	De Novo Junctions?	chr	strand	Junctions coords	Exons coords	Exons Alternative Start	Exons Alternative End	IR coords	Voila link
PIEZO1	ENSG00000103335	ENSG00000103335:88791824-88791927:target	-0.412473834967;0.412473834967	0.954186998417;0.954186998417	0.508;0.492	0.093;0.907	s|1e1.1o1|1e2.1o1	False	False	True	2	3	0	chr16	-	88791488-88791824;88790379-88791824	88790355-88790379;88791417-88791488;88791824-88791927	;;	;;		file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/11_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#PIEZO1
TRIM65	ENSG00000141569	ENSG00000141569:73888092-73888266:target	-0.203598943638;0.203598943638	0.585088296937;0.585088296937	0.790;0.210	0.505;0.495	s|1e1.1o1|1e2.1o1	False	False	True	2	3	0	chr17	-	73887959-73888092;73887428-73888092	73885041-73887428;73887894-73887959;73888092-73888266	;;	;;		file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/31_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#TRIM65
ARRB2	ENSG00000141480	ENSG00000141480:4620512-4620674:source	-0.257309954964;2.63279446349e-06;0.253451615807	0.870315395236;1.74418902825e-11;0.859496698051	0.921;0.025;0.078	0.667;0.025;0.328	s|1e1.2o3|1e1.3o3|2e0|i	True	True	False	2	2	1	chr17	+	4620571-4620980;4620571-4620993;4620674-4620675	4620512-4620674;4620675-4620730;4620731-4621047;4620731-4621047	;;;	;;;	(4620675, 4620730)	file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/31_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#ARRB2
MAP3K12	ENSG00000139625	ENSG00000139625:53881039-53881693:target	-0.331422815107;0.00149303083826;0.211061108556	0.950402474901;0.00108784972922;0.600817440557	0.364;0.042;0.598	0.032;0.083;0.899	s|1e0|2e1.1o2|2e1.2o2|i	True	True	False	2	2	1	chr12	-	53880939-53881039;53880929-53881039;53881038-53881039	53880631-53880939;53880631-53880939;53880940-53881038;53881039-53881693	;;;	;;;	(53880940, 53881038)	file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/30_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#MAP3K12
MPI	ENSG00000178802	ENSG00000178802:75187775-75189296:source	-0.162802277641;-0.000944688526379;0.225720224181	0.494311772111;0.00169047783655;0.689294803488	0.605;0.234;0.161	0.351;0.218;0.430	s|1e0|2e1.1o1|2e2.1o2|3e0|4e0|5e0|i	True	False	True	2	3	1	chr15	+	75188666-75189352;75188666-75189853;75189296-75189297	75187775-75189296;75189297-75189351;75189352-75189560;75189853-75191798	;;;	;;;	(75189297, 75189351)	file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/48_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#MPI
SFI1	ENSG00000198089	ENSG00000198089:31892261-31892623:source	3.20249544619e-05;-0.269660657989;0.267141334331	1.00655671056e-06;0.811709535641;0.813465432555	0.026;0.959;0.036	0.027;0.675;0.315	s|1e1.1o1|1e2.1o2|1e2.2o2	False	True	True	3	3	0	chr22	+	31892623-31893234;31892623-31904241;31892623-31904245	31892261-31892623;31893234-31893334;31904241-31904362;31904241-31904362	;;;	;;;		file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/53_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#SFI1
SFI1	ENSG00000198089	ENSG00000198089:31904241-31904362:target	1.94439421105e-05;-0.315446307028;0.000511753056832;0.2645046925	4.91710604334e-07;0.906564271854;3.39141567929e-05;0.811761000876	0.026;0.957;0.026;0.035	0.027;0.640;0.045;0.311	t|1e0|1e1.1o1|1e2.1o1|1e3.1o1|2e2.1o1	True	True	True	4	4	0	chr22	+	31884769-31904241;31892623-31904241;31893334-31904241;31892623-31904245	31884674-31884769;31892261-31892623;31892261-31892623;31893234-31893334;31904241-31904362	;;;;	;;;;		file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/53_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#SFI1
MVP	ENSG00000013364	ENSG00000013364:29831715-29831831:source	-1.41844605629e-06;-0.00425543599727;0.22870867282;-0.137723951635	1.56177692377e-11;0.000601597207118;0.734499516987;0.435766043351	0.025;0.112;0.515;0.369	0.025;0.055;0.770;0.171	s|1e1.1o1|1e2.1o2|1e2.2o2|i	False	True	True	3	3	1	chr16	+	29831831-29837263;29831831-29841795;29831831-29841836;29831831-29831832	29831715-29831831;29831832-29832644;29837263-29837413;29841795-29841996;29841795-29841996	;;;;	;;;;	(29831832, 29832644)	file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/1_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#MVP
NAPRT	ENSG00000147813	ENSG00000147813:144658816-144659012:source	4.51399533329e-05;0.286595532207;-0.29540192156	4.76666230779e-07;0.939565395753;0.962391191582	0.025;0.662;0.335	0.027;0.947;0.045	t|1e1.1o2|1e2.1o2|2e0|i	False	True	True	2	3	1	chr8	-	144659012-144659439;144659012-144659232;144659012-144659013	144658816-144659012;144659013-144659112;144659113-144659347;144659437-144659569	;;;	;;;	(144659013, 144659112)	file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/33_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#NAPRT
PEX16	ENSG00000121680	ENSG00000121680:45939139-45939631:target	3.04681151951e-05;3.04681151951e-05;-0.404465814876;-0.000290314031034;0.42794295621	2.6396880185e-06;2.6396880185e-06;0.949964657834;1.00979170635e-05;0.985869981522	0.026;0.026;0.923;0.038;0.037	0.027;0.027;0.519;0.027;0.456	s|1e1.1o1|2e1.1o1|3e1.1o1|4e1.1o1|i	True	True	False	4	2	1	chr11	-	45939044-45939325;45939044-45939255;45939044-45939251;45939044-45939139;45939138-45939139	45939009-45939044;45939009-45939044;45939009-45939044;45939009-45939044;45939045-45939138;45939139-45939631	;;;;;	;;;;;	(45939045, 45939138)	file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/19_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#PEX16
MBTPS1	ENSG00000140943	ENSG00000140943:84108202-84109038:source	-0.224569883216;0.224569883216	0.759391072366;0.759391072366	0.962;0.038	0.729;0.271	t|1e0|2e1.1o2|i	False	True	False	1	2	1	chr16	-	84108346-84115352;84109038-84109039	84108202-84109038;84109039-84109127;84115137-84115774	;;	;;	(84109039, 84109127)	file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/31_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#MBTPS1
RPL26	ENSG00000161970	ENSG00000161970:8286093-8286531:target	-2.469869735e-06;0.226718741597;-2.469869735e-06;-0.000668138058671;-0.167523452486;-2.469869735e-06	2.58634778008e-10;0.768773053924;2.58634778008e-10;2.82851977857e-06;0.412052625557;2.58634778008e-10	0.025;0.753;0.025;0.045;0.194;0.025	0.025;0.975;0.025;0.025;0.025;0.025	s|1e1.2o4|1e1.3o4|1e2.1o1|2e1.3o4|3e1.3o4|4e1.3o4	True	True	True	6	3	0	chr17	-	8285656-8286475;8285633-8286475;8285408-8286475;8285633-8286180;8285633-8286099;8285633-8286093	8285102-8285408;8285461-8285872;8285461-8285872;8285461-8285872;8285461-8285872;8285461-8285872;8286093-8286531	;;;;;;	;;;;;;		file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/38_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#RPL26
CDK4	ENSG00000135446	ENSG00000135446:58144439-58144454:target	-0.269770400552;0.269770400552	0.843687570526;0.843687570526	0.940;0.060	0.667;0.333	s|1e1.2o2|i	False	False	False	1	2	1	chr12	-	58143287-58144439;58144438-58144439	58143237-58143578;58144347-58144438;58144439-58144454	;;	;;	(58144347, 58144438)	file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/26_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#CDK4
WDYHV1	ENSG00000156795	ENSG00000156795:124428965-124429172:source	-0.217161538337;0.217161538337	0.640191253002;0.640191253002	0.357;0.643	0.071;0.929	s|1e1.1o1|2e1.1o1	True	True	False	2	2	0	chr8	+	124429096-124440164;124429172-124440164	124428965-124429172;124440164-124440271;124440164-124440271	;;	;;		file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/36_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#WDYHV1
GOSR2	ENSG00000108433	ENSG00000108433:45015965-45017226:target	0.27357131041;-0.27357131041	0.828500856256;0.828500856256	0.048;0.952	0.333;0.667	t|1e0|1e1.1o3|1e2.1o2	False	False	True	2	3	0	chr17	+	45009565-45015965;45012535-45015965	45009433-45009832;45012395-45014205;45015965-45017226	;;	;;		file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/13_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#GOSR2
PVRIG	ENSG00000213413	ENSG00000213413:99817336-99817651:source	-0.211055293036;0.211055293036	0.681223266619;0.681223266619	0.938;0.062	0.724;0.276	s|1e1.1o1|i	False	False	False	1	2	1	chr7	+	99817651-99817737;99817651-99817652	99817336-99817651;99817652-99817736;99817737-99818087	;;	;;	(99817652, 99817736)	file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/56_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#PVRIG
PVRIG	ENSG00000213413	ENSG00000213413:99817737-99818087:target	-0.348930214487;0.348930214487	0.993632461278;0.993632461278	0.933;0.067	0.593;0.407	t|1e1.1o1|i	False	False	False	1	2	1	chr7	+	99817651-99817737;99817736-99817737	99817336-99817651;99817652-99817736;99817737-99818087	;;	;;	(99817652, 99817736)	file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/56_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#PVRIG
CPNE1	ENSG00000214078	ENSG00000214078:34243124-34243266:target	-0.218260003848;0.218260003848	0.770000661783;0.770000661783	0.254;0.746	0.037;0.963	s|1e1.1o1|i	False	False	False	1	2	1	chr20	-	34220845-34243124;34243123-34243124	34220717-34220845;34241600-34243123;34243124-34243266	;;	;;	(34241600, 34243123)	file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/56_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#CPNE1
PRUNE	ENSG00000143363	ENSG00000143363:150997087-150997271:target	0.000908563227488;-0.498963939219;0.442450884458	0.000142732587071;0.993562327805;0.967453475673	0.026;0.639;0.353	0.057;0.151;0.793	t|1e1.1o1|1e2.1o1|1e3.1o1|2e0	False	True	True	3	4	0	chr1	+	150981147-150997087;150990380-150997087;150991145-150997087	150980896-150981147;150990288-150990380;150990943-150991145;150997087-150997271	;;;	;;;		file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/32_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#PRUNE
TCERG1	ENSG00000113649	ENSG00000113649:145859591-145860081:source	-0.0168890944126;0.23371274655;-0.0516217738212	0.0299529728801;0.694502914171;0.101632116992	0.172;0.660;0.168	0.050;0.942;0.027	s|1e1.1o2|1e2.1o2|2e2.2o2|3e0|4e0	True	True	True	3	3	1	chr5	+	145859657-145860713;145859657-145862155;145859661-145862158	145859591-145860081;145860713-145860763;145862155-145862290;145862155-145862290	;;;	;;;		file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/16_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#TCERG1
TCERG1	ENSG00000113649	ENSG00000113649:145890004-145891524:target	0.292299838402;-0.292299838402	0.893265051153;0.893265051153	0.566;0.434	0.863;0.137	t|1e1.1o1|1e2.1o1	False	False	True	2	3	0	chr5	+	145888808-145890004;145889723-145890004	145888708-145888808;145889630-145889723;145890004-145891524	;;	;;		file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/16_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#TCERG1
TRBC2	ENSG00000211772	ENSG00000211772:142499628-142499649:source	-0.366412096538;-0.000242620265866;4.45321239554e-10;0.365441500323	0.980933331833;2.61856927369e-08;2.10868886446e-18;0.989556005741	0.571;0.096;0.025;0.333	0.213;0.096;0.025;0.689	s|1e1.2o2|1e2.1o1|2e1.2o2|i	True	True	True	3	3	1	chr7	+	142499645-142499789;142499645-142500187;142499649-142499789;142499649-142499650	142499628-142499649;142499650-142499701;142499702-142499895;142499702-142499895;142500187-142500432	;;;;	;;;;	(142499650, 142499701)	file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/56_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#TRBC2
AKAP2	ENSG00000241978	ENSG00000241978:112900451-112900819:source	0.247199556404;-0.247199556404	0.772254753625;0.772254753625	0.543;0.457	0.815;0.185	s|1e0|2e1.1o1|2e2.1o1	True	False	True	2	3	0	chr9	+	112900819-112918599;112900819-112930679	112900451-112900819;112918599-112918777;112930679-112934792	;;	;;		file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/59_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#AKAP2
MEF2D	ENSG00000116604	ENSG00000116604:156450626-156450763:target	-0.35851207692;1.20333965229e-05;0.356318933482	0.987091822524;1.24673447202e-08;0.987209019962	0.946;0.025;0.049	0.596;0.026;0.397	s|1e1.1o2|1e2.1o1|i	False	False	True	2	3	1	chr1	-	156449588-156450626;156449138-156450626;156450625-156450626	156449082-156449138;156449378-156449588;156450570-156450625;156450626-156450763	;;;	;;;	(156450570, 156450625)	file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/18_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#MEF2D
CD47	ENSG00000196776	ENSG00000196776:107770786-107773586:source	-3.93693655719e-06;-0.175553794828;-0.00017004870474;0.235888159816	7.74591892787e-11;0.554651674336;3.84669053848e-10;0.732018616125	0.025;0.550;0.031;0.407	0.025;0.322;0.025;0.670	t|1e0|2e1.1o1|3e1.1o1|3e2.1o1|i	True	True	True	3	3	1	chr3	-	107773195-107776324;107770817-107776324;107770817-107774367;107773586-107773587	107770786-107773586;107773587-107774366;107774367-107774413;107776324-107776416;107776324-107776416	;;;;	;;;;	(107773587, 107774366)	file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/52_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#CD47
TRAF3	ENSG00000131323	ENSG00000131323:103336522-103336783:target	-0.22322469585;0.211708226453;8.73331173606e-06;8.73331173606e-06	0.745378267192;0.697319821636;4.76358199701e-08;4.76358199701e-08	0.285;0.706;0.025;0.025	0.044;0.946;0.026;0.026	t|1e1.1o1|1e2.2o2|1e3.1o1|1e4.1o1	False	False	True	4	5	1	chr14	+	103244012-103336522;103296809-103336522;103313848-103336522;103328038-103336522	103243813-103244012;103296671-103296809;103313838-103313848;103328028-103328038;103336522-103336783	;;;;	;;;;		file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/23_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#TRAF3
LIMS1	ENSG00000169756	ENSG00000169756:109276061-109276401:target	-0.213955977224;-4.83793955133e-07;-4.83793955133e-07;-4.83793955133e-07;0.21480630538;-4.83793955133e-07;-4.83793955133e-07	0.698630324762;5.5769737124e-12;5.5769737124e-12;5.5769737124e-12;0.699785753803;5.5769737124e-12;5.5769737124e-12	0.408;0.025;0.025;0.025;0.583;0.025;0.025	0.168;0.025;0.025;0.025;0.824;0.025;0.025	t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1|1e6.1o1|1e7.1o1	False	False	True	7	8	0	chr2	+	109151050-109276061;109204881-109276061;109205084-109276061;109223711-109276061;109237917-109276061;109271712-109276061;109274396-109276061	109150857-109151050;109204767-109204881;109204922-109205084;109223617-109223711;109237707-109237917;109271268-109271712;109274350-109274396;109276061-109276401	;;;;;;;	;;;;;;;		file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/44_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#LIMS1
PTBP1	ENSG00000011304	ENSG00000011304:806408-807028:target	-0.219114428464;0.219114428464	0.737763109189;0.737763109189	0.361;0.639	0.128;0.872	t|1e1.2o2|1e2.1o3	False	False	True	2	3	0	chr19	+	805187-806408;805569-806408	805013-805187;805492-806045;806408-807028	;;	;;		file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/0_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#PTBP1
RASGRF2	ENSG00000113319	ENSG00000113319:80382654-80382772:source	-0.449622918649;0.449622918649	0.939762007388;0.939762007388	0.844;0.156	0.386;0.614	s|1e1.1o1|1e2.1o2	False	False	True	2	3	0	chr5	+	80382772-80382947;80382772-80388620	80382654-80382772;80382947-80384383;80388620-80388780	;;	;;		file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/16_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#RASGRF2
FDFT1	ENSG00000079459	ENSG00000079459:11660521-11660734:source	5.68486307369e-05;5.68486307369e-05;-0.407931619234;0.387408586108	4.29272732475e-06;4.29272732475e-06;0.941812060011;0.914268999554	0.025;0.025;0.570;0.420	0.028;0.028;0.156;0.822	s|1e1.1o2|1e1.2o2|1e2.5o5|i	False	True	True	3	3	1	chr8	+	11660734-11660814;11660734-11660831;11660734-11666303;11660734-11660735	11660521-11660734;11660735-11660813;11660814-11661341;11660814-11661341;11665926-11666400	;;;;	;;;;	(11660735, 11660813)	file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/6_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#FDFT1
CDK11A	ENSG00000008128	ENSG00000008128:1635662-1635783:target	0.425540589849;-0.311871413499;-0.0187617579965	0.987718495717;0.902395808207;0.00162619686531	0.502;0.394;0.104	0.920;0.070;0.028	s|1e0|2e1.1o2|2e2.1o2|i	True	False	True	2	3	1	chr1	-	1635585-1635662;1635434-1635662;1635661-1635662	1635263-1635434;1635478-1635585;1635586-1635661;1635662-1635783	;;;	;;;	(1635586, 1635661)	file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/0_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#CDK11A
CDC27	ENSG00000004897	ENSG00000004897:45219210-45219391:source	5.93678959566e-06;0.283677769202;-0.286074446185	7.30203163712e-09;0.822093047318;0.828638049044	0.025;0.466;0.529	0.025;0.771;0.223	t|1e1.1o1|1e2.1o1|2e2.1o1	True	True	True	3	3	0	chr17	-	45219391-45221249;45219391-45219595;45219388-45219595	45219210-45219391;45219595-45219747;45219595-45219747;45221249-45221348	;;;	;;;		file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/0_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#CDC27
BTN3A1	ENSG00000026950	ENSG00000026950:26410234-26410260:target	-0.00238052647842;0.377059680639;-0.329421897182	0.000511184354596;0.956873303383;0.927838542447	0.086;0.494;0.420	0.042;0.868;0.090	t|1e1.1o1|1e2.1o1|i	False	False	True	2	3	1	chr6	+	26409961-26410234;26410142-26410234;26410233-26410234	26409761-26409961;26410122-26410142;26410143-26410233;26410234-26410260	;;;	;;;	(26410143, 26410233)	file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/1_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#BTN3A1
RBM23	ENSG00000100461	ENSG00000100461:23375224-23375577:source	0.000392387215933;0.00603119101109;-0.48782244071;0.3661700495	8.05658884521e-05;0.00379027581472;0.998395933459;0.918120145576	0.037;0.026;0.582;0.365	0.052;0.103;0.106;0.740	t|1e1.1o1|1e2.1o1|1e3.2o3|1e4.1o1	False	False	True	4	5	0	chr14	-	23375577-23388208;23375577-23380537;23375577-23378692;23375577-23377542	23375224-23375577;23377542-23377608;23378691-23378804;23380537-23380612;23388208-23388393	;;;;	;;;;		file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/10_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#RBM23
RBM23	ENSG00000100461	ENSG00000100461:23378691-23378804:target	-1.81646770879e-05;2.30737730699e-05;0.555328739196;-0.548516627348	2.02075326393e-07;2.00729957659e-07;0.99994220591;0.999941581295	0.027;0.025;0.358;0.622	0.026;0.026;0.899;0.087	s|1e0|2e1.1o1|2e2.1o2|2e2.2o2|2e3.1o1|3e0	True	True	True	4	4	0	chr14	-	23377949-23378692;23377608-23378692;23377589-23378692;23375577-23378692	23375224-23375577;23377542-23377608;23377542-23377608;23377741-23377949;23378691-23378804	;;;;	;;;;		file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/10_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#RBM23
CLEC2D	ENSG00000069493	ENSG00000069493:9822309-9822391:source	-0.0304001497698;-0.424580365072;4.26077423097e-05;0.502289872714	0.000807380764438;0.999699072236;3.30531617844e-12;0.999999980611	0.092;0.832;0.026;0.056	0.025;0.418;0.028;0.545	s|1e1.1o1|1e2.1o3|1e3.2o2|i	False	False	True	3	4	1	chr12	+	9822391-9832786;9822391-9833519;9822391-9840498;9822391-9822392	9822309-9822391;9822392-9826603;9832786-9832883;9833519-9833646;9840497-9840757	;;;;	;;;;	(9822392, 9826603)	file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/4_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#CLEC2D
CCS	ENSG00000173992	ENSG00000173992:66366587-66366724:source	-0.341442171925;0.341442171925	0.950857504528;0.950857504528	0.944;0.056	0.606;0.394	s|1e1.1o1|i	False	False	False	1	2	1	chr11	+	66366724-66366930;66366724-66366725	66366587-66366724;66366725-66366929;66366930-66367274	;;	;;	(66366725, 66366929)	file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/46_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#CCS
PNISR	ENSG00000132424	ENSG00000132424:99848420-99848430:target	0.479189291375;-0.479189291375	0.999500851271;0.999500851271	0.327;0.673	0.794;0.206	s|1e1.1o1|i	False	False	False	1	2	1	chr6	-	99848187-99848420;99848419-99848420	99845927-99848187;99848188-99848419;99848420-99848430	;;	;;	(99848188, 99848419)	file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/24_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#PNISR
PNISR	ENSG00000132424	ENSG00000132424:99845927-99848187:source	1.28781448883e-06;-4.20317209745e-06;0.253355824931;-0.231880542847	3.65387364678e-12;3.65354989825e-12;0.835828973366;0.769685623717	0.025;0.025;0.250;0.730	0.025;0.025;0.507;0.487	t|1e1.1o1|1e2.4o4|1e3.1o1|i	False	False	True	3	4	1	chr6	-	99848187-99850416;99848187-99848862;99848187-99848420;99848187-99848188	99845927-99848187;99848188-99848419;99848420-99848430;99848862-99849506;99850416-99850586	;;;;	;;;;	(99848188, 99848419)	file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/24_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#PNISR
HRAS	ENSG00000174775	ENSG00000174775:533453-533612:target	0.466316523607;-0.466316523607	0.984927478581;0.984927478581	0.298;0.702	0.757;0.243	s|1e1.1o1|1e2.1o1	False	False	True	2	3	0	chr11	-	533358-533453;532755-533453	532631-532755;533277-533358;533453-533612	;;	;;		file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/46_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#HRAS
HRAS	ENSG00000174775	ENSG00000174775:532631-532755:source	-0.477625255769;0.477625255769	0.983625272642;0.983625272642	0.738;0.262	0.268;0.732	t|1e1.1o1|1e2.1o1	False	False	True	2	3	0	chr11	-	532755-533453;532755-533277	532631-532755;533277-533358;533453-533612	;;	;;		file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/46_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#HRAS
P2RY10	ENSG00000078589	ENSG00000078589:78207690-78207832:target	0.263719963904;-0.263719963904	0.716068645244;0.716068645244	0.520;0.480	0.844;0.156	t|1e1.1o1|1e2.1o1	False	False	True	2	3	0	chrX	+	78200992-78207690;78203360-78207690	78200829-78200992;78203312-78203360;78207690-78207832	;;	;;		file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/5_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#P2RY10
BHLHE40	ENSG00000134107	ENSG00000134107:5023077-5023295:target	-0.25567868794;0.25567868794	0.921205744414;0.921205744414	0.925;0.075	0.676;0.324	t|1e1.1o1|i	False	False	False	1	2	1	chr3	+	5022093-5023077;5023076-5023077	5021917-5022093;5022094-5023076;5023077-5023295	;;	;;	(5022094, 5023076)	file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/25_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#BHLHE40
BHLHE40	ENSG00000134107	ENSG00000134107:5021917-5022093:source	-0.225694314046;0.225694314046	0.786331487552;0.786331487552	0.914;0.086	0.693;0.307	s|1e1.1o1|i	False	False	False	1	2	1	chr3	+	5022093-5023077;5022093-5022094	5021917-5022093;5022094-5023076;5023077-5023295	;;	;;	(5022094, 5023076)	file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/25_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#BHLHE40
STAM	ENSG00000136738	ENSG00000136738:17726674-17726749:source	-0.257870397691;0.257870397691	0.78274529871;0.78274529871	0.970;0.030	0.693;0.307	s|1e1.2o2|i	False	False	False	1	2	1	chr10	+	17726749-17726831;17726749-17726750	17726674-17726749;17726750-17726783;17726784-17726926	;;	;;	(17726750, 17726783)	file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/28_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#STAM
ACTR6	ENSG00000075089	ENSG00000075089:100604073-100604129:target	6.18457141963e-05;-0.233724162827;0.231335537375	4.57329106674e-08;0.786476387748;0.792423573044	0.027;0.947;0.036	0.030;0.709;0.267	t|1e1.1o2|1e2.2o2|i	False	False	True	2	3	1	chr12	+	100601564-100604073;100603986-100604073;100604072-100604073	100601441-100601699;100603851-100603986;100603987-100604072;100604073-100604129	;;;	;;;	(100603987, 100604072)	file:///data/THelper/./voila/dpsi/TH1e_PolyAvTotal//summaries/4_Th1_e_A_Th1_e_r.deltapsi_quantify_deltapsi.html#ACTR6
